segment Malta
36.074 14.265
36.073 14.273
36.066 14.283
36.065 14.288
36.067 14.294
36.066 14.298
36.06 14.305
36.062 14.314
36.055 14.319
36.049 14.329
36.039 14.34
36.035 14.341
36.031 14.339
36.03 14.336
36.031 14.33
36.028 14.325
36.028 14.318
36.03 14.307
36.024 14.301
36.022 14.296
36.02 14.279
36.017 14.271
36.017 14.27
36.017 14.264
36.02 14.258
36.021 14.248
36.026 14.239
36.026 14.225
36.028 14.22
36.034 14.217
36.037 14.209
36.036 14.198
36.038 14.196
36.046 14.197
36.053 14.194
36.063 14.197
36.067 14.192
36.074 14.192
36.081 14.213
36.082 14.221
36.081 14.233
36.081 14.248
36.078 14.258
36.073 14.264
36.074 14.265
segment Malta
36.008 14.339
36.008 14.335
36.014 14.329
36.018 14.328
36.021 14.337
36.02 14.344
36.012 14.35
36.008 14.345
36.008 14.339
segment Malta
35.951 14.43
35.957 14.44
35.955 14.445
35.948 14.454
35.949 14.457
35.943 14.464
35.943 14.478
35.941 14.483
35.931 14.495
35.925 14.498
35.923 14.496
35.918 14.495
35.921 14.5
35.921 14.505
35.913 14.516
35.91 14.516
35.909 14.506
35.907 14.514
35.908 14.523
35.899 14.522
35.897 14.518
35.892 14.51
35.89 14.509
35.891 14.516
35.895 14.521
35.897 14.529
35.903 14.531
35.901 14.538
35.892 14.558
35.874 14.578
35.87 14.573
35.866 14.577
35.856 14.569
35.855 14.576
35.846 14.577
35.845 14.575
35.844 14.569
35.834 14.57
35.827 14.567
35.827 14.566
35.829 14.563
35.841 14.557
35.844 14.552
35.835 14.547
35.835 14.541
35.833 14.538
35.826 14.538
35.819 14.546
35.813 14.544
35.81 14.536
35.811 14.519
35.816 14.493
35.821 14.479
35.827 14.469
35.825 14.457
35.827 14.448
35.827 14.431
35.829 14.426
35.836 14.421
35.84 14.416
35.842 14.407
35.849 14.397
35.852 14.385
35.863 14.371
35.867 14.362
35.872 14.357
35.877 14.347
35.88 14.344
35.884 14.343
35.894 14.342
35.901 14.336
35.907 14.337
35.909 14.343
35.912 14.344
35.921 14.338
35.923 14.344
35.933 14.346
35.936 14.345
35.946 14.336
35.953 14.343
35.959 14.343
35.968 14.342
35.97 14.338
35.969 14.326
35.971 14.324
35.976 14.329
35.981 14.332
35.986 14.334
35.988 14.337
35.988 14.343
35.993 14.364
35.998 14.371
35.997 14.376
35.991 14.38
35.989 14.379
35.98 14.359
35.975 14.356
35.972 14.358
35.969 14.362
35.972 14.376
35.973 14.391
35.972 14.396
35.966 14.402
35.963 14.401
35.961 14.398
35.955 14.393
35.954 14.393
35.954 14.409
35.962 14.43
35.959 14.432
35.951 14.43
