segment Austria
48.778 16
48.783 16
48.775 16.008
48.758 16.039
48.744 16.086
48.74 16.11
48.74 16.135
48.742 16.179
48.741 16.188
48.736 16.203
48.736 16.222
48.733 16.253
48.737 16.282
48.733 16.302
48.726 16.329
48.727 16.334
48.738 16.348
48.737 16.355
48.728 16.366
48.725 16.374
48.727 16.381
48.738 16.402
48.749 16.412
48.756 16.424
48.773 16.438
48.792 16.451
48.795 16.467
48.791 16.495
48.795 16.519
48.807 16.536
48.804 16.546
48.79 16.569
48.786 16.586
48.777 16.601
48.775 16.614
48.775 16.625
48.782 16.639
48.778 16.657
48.771 16.669
48.755 16.68
48.74 16.677
48.733 16.673
48.725 16.682
48.723 16.688
48.731 16.7
48.734 16.711
48.733 16.73
48.728 16.734
48.724 16.746
48.723 16.752
48.719 16.754
48.712 16.761
48.71 16.769
48.711 16.785
48.703 16.797
48.704 16.803
48.708 16.811
48.712 16.835
48.711 16.854
48.713 16.87
48.714 16.892
48.713 16.894
48.714 16.903
48.711 16.907
48.705 16.911
48.695 16.922
48.684 16.92
48.676 16.916
48.669 16.924
48.652 16.927
48.634 16.923
48.625 16.923
48.618 16.93
48.615 16.948
48.606 16.946
48.6 16.936
48.582 16.938
48.573 16.937
48.567 16.938
48.552 16.95
48.546 16.95
48.542 16.953
48.521 16.944
48.515 16.925
48.511 16.921
48.499 16.918
48.495 16.903
48.493 16.898
48.48 16.896
48.476 16.885
48.466 16.875
48.462 16.867
48.458 16.864
48.454 16.865
48.446 16.856
48.439 16.856
48.413 16.867
48.399 16.866
48.395 16.863
48.392 16.862
48.381 16.849
48.372 16.848
48.354 16.855
48.352 16.864
48.352 16.878
48.34 16.887
48.336 16.894
48.332 16.91
48.325 16.916
48.317 16.915
48.309 16.905
48.295 16.912
48.29 16.92
48.275 16.932
48.273 16.955
48.269 16.96
48.262 16.961
48.243 16.96
48.231 16.964
48.228 16.966
48.215 16.975
48.192 16.986
48.187 16.989
48.172 16.993
48.162 17.019
48.149 17.036
48.144 17.051
48.137 17.061
48.116 17.074
48.107 17.077
48.104 17.083
48.101 17.1
48.098 17.101
48.084 17.089
48.073 17.083
48.067 17.086
48.063 17.088
48.058 17.082
48.055 17.083
48.05 17.09
48.045 17.091
48.033 17.082
48.026 17.084
48.024 17.09
48.024 17.102
48.029 17.117
48.024 17.129
48.022 17.143
48.01 17.159
48.008 17.163
48 17.157
47.978 17.111
47.967 17.101
47.961 17.12
47.955 17.12
47.945 17.106
47.935 17.1
47.929 17.097
47.918 17.114
47.905 17.103
47.893 17.105
47.88 17.094
47.873 17.072
47.871 17.064
47.867 17.05
47.867 17.028
47.865 17.024
47.86 17.023
47.843 17.058
47.836 17.063
47.826 17.059
47.806 17.081
47.8 17.072
47.794 17.06
47.779 17.068
47.757 17.07
47.731 17.072
47.722 17.076
47.711 17.091
47.698 16.987
47.694 16.949
47.688 16.913
47.689 16.891
47.688 16.881
47.694 16.875
47.716 16.872
47.716 16.866
47.707 16.859
47.706 16.854
47.698 16.842
47.686 16.835
47.681 16.83
47.68 16.817
47.681 16.771
47.683 16.753
47.698 16.743
47.713 16.729
47.728 16.719
47.736 16.708
47.739 16.697
47.741 16.666
47.746 16.654
47.755 16.643
47.756 16.636
47.755 16.626
47.759 16.618
47.759 16.613
47.751 16.599
47.755 16.589
47.752 16.579
47.753 16.568
47.751 16.558
47.737 16.541
47.734 16.547
47.722 16.552
47.711 16.543
47.71 16.542
47.71 16.526
47.707 16.518
47.7 16.498
47.689 16.481
47.681 16.478
47.68 16.473
47.682 16.467
47.692 16.457
47.691 16.45
47.688 16.447
47.675 16.444
47.675 16.445
47.667 16.433
47.667 16.432
47.662 16.428
47.658 16.43
47.657 16.44
47.651 16.456
47.65 16.473
47.646 16.488
47.64 16.496
47.638 16.504
47.643 16.517
47.643 16.523
47.638 16.53
47.633 16.545
47.623 16.566
47.622 16.568
47.619 16.576
47.619 16.589
47.617 16.599
47.626 16.628
47.625 16.643
47.619 16.653
47.61 16.658
47.605 16.667
47.591 16.669
47.58 16.677
47.573 16.678
47.566 16.67
47.561 16.677
47.559 16.688
47.544 16.703
47.541 16.71
47.535 16.713
47.528 16.706
47.52 16.705
47.509 16.691
47.504 16.68
47.505 16.666
47.501 16.656
47.494 16.654
47.486 16.661
47.478 16.671
47.471 16.671
47.458 16.66
47.439 16.629
47.43 16.622
47.427 16.609
47.422 16.597
47.421 16.588
47.411 16.576
