segment Cyprus
34.669 32.617
34.678 32.605
34.693 32.576
34.695 32.566
34.702 32.543
34.701 32.533
34.709 32.52
34.708 32.51
34.703 32.501
34.708 32.495
34.71 32.491
34.713 32.484
34.735 32.456
34.737 32.451
34.736 32.442
34.748 32.432
34.754 32.424
34.754 32.42
34.753 32.412
34.758 32.405
34.775 32.408
34.782 32.407
34.79 32.401
34.791 32.401
34.802 32.401
34.822 32.392
34.838 32.391
34.843 32.387
34.847 32.377
34.852 32.372
34.852 32.366
34.855 32.362
34.853 32.355
34.858 32.349
34.875 32.341
34.886 32.327
34.893 32.318
34.898 32.317
34.907 32.326
34.919 32.331
34.928 32.327
34.949 32.308
34.955 32.309
34.959 32.316
34.966 32.313
34.976 32.318
34.995 32.311
35 32.307
