segment Estonia
58.839 22.868
58.831 22.865
58.828 22.839
58.824 22.838
58.815 22.852
58.816 22.858
58.82 22.853
58.823 22.857
58.828 22.869
58.825 22.884
58.822 22.89
58.819 22.889
58.815 22.879
58.81 22.875
58.806 22.875
58.795 22.884
58.793 22.883
58.792 22.855
58.788 22.852
58.785 22.853
58.783 22.853
58.785 22.844
58.785 22.837
58.767 22.823
58.755 22.797
58.756 22.791
58.763 22.8
58.767 22.808
58.778 22.819
58.779 22.815
58.776 22.805
58.776 22.79
58.78 22.781
58.794 22.768
58.791 22.76
58.795 22.756
58.806 22.744
58.806 22.739
58.801 22.739
58.8 22.735
58.795 22.727
58.788 22.727
58.785 22.718
58.777 22.713
58.778 22.719
58.776 22.73
58.773 22.731
58.764 22.718
58.762 22.716
58.739 22.694
58.703 22.668
58.698 22.645
58.697 22.628
58.693 22.619
58.694 22.614
58.693 22.6
58.689 22.586
58.688 22.564
58.689 22.559
58.693 22.537
58.706 22.487
58.711 22.483
58.714 22.465
58.717 22.473
58.719 22.47
58.723 22.456
58.728 22.461
58.722 22.472
58.723 22.483
58.726 22.49
58.726 22.506
58.73 22.508
58.733 22.504
58.738 22.503
58.742 22.488
58.742 22.487
58.747 22.488
58.752 22.478
58.753 22.469
58.756 22.468
58.757 22.475
58.76 22.477
58.763 22.484
58.767 22.485
58.777 22.478
58.78 22.472
58.78 22.462
58.783 22.46
58.788 22.451
58.791 22.451
58.797 22.46
58.802 22.46
58.807 22.44
58.81 22.44
58.81 22.46
58.813 22.46
58.813 22.454
58.823 22.459
58.825 22.459
58.831 22.459
58.841 22.455
58.848 22.446
58.857 22.441
58.861 22.43
58.868 22.431
58.872 22.42
58.883 22.406
58.892 22.386
58.897 22.371
58.897 22.365
58.894 22.356
58.892 22.331
58.884 22.322
58.885 22.318
58.885 22.316
58.882 22.315
58.881 22.309
58.887 22.305
58.887 22.299
58.89 22.292
58.891 22.281
58.888 22.279
58.888 22.272
58.881 22.267
58.88 22.264
58.882 22.251
58.876 22.214
58.878 22.205
58.877 22.2
58.88 22.194
58.88 22.174
58.886 22.164
58.886 22.156
58.89 22.153
58.891 22.149
58.89 22.138
58.892 22.132
58.895 22.137
58.901 22.138
58.905 22.134
58.906 22.118
58.913 22.103
58.913 22.08
58.916 22.072
58.917 22.065
58.921 22.059
58.922 22.051
58.925 22.044
58.941 22.052
58.942 22.069
58.945 22.075
58.945 22.084
58.939 22.103
58.94 22.128
58.939 22.132
58.935 22.161
58.933 22.201
58.934 22.219
58.932 22.225
58.934 22.245
58.943 22.265
58.945 22.283
58.943 22.302
58.946 22.312
58.946 22.32
58.943 22.338
58.935 22.358
58.934 22.361
58.934 22.383
58.937 22.398
58.946 22.418
58.956 22.425
58.962 22.419
58.965 22.419
58.966 22.425
58.957 22.441
58.958 22.448
58.963 22.457
58.959 22.467
58.961 22.473
58.965 22.47
58.966 22.463
58.972 22.454
58.985 22.444
58.989 22.445
58.99 22.445
58.992 22.451
58.989 22.462
58.99 22.47
58.989 22.475
58.986 22.476
58.982 22.484
58.979 22.482
58.978 22.487
58.98 22.494
58.983 22.494
58.986 22.487
58.988 22.49
58.991 22.486
58.993 22.494
58.996 22.497
58.998 22.492
59.002 22.491
59.004 22.486
59.009 22.487
59.015 22.483
59.026 22.481
59.028 22.486
59.024 22.493
59.026 22.503
59.024 22.508
59.024 22.515
59.02 22.523
59.023 22.535
59.025 22.539
59.029 22.54
59.029 22.546
59.034 22.548
59.029 22.555
59.03 22.562
59.027 22.567
59.032 22.58
59.038 22.584
59.068 22.583
59.091 22.587
59.092 22.591
59.086 22.603
59.082 22.627
59.083 22.641
59.083 22.642
59.086 22.652
