segment Belarus
56.166 28.151
56.16 28.157
56.148 28.172
56.142 28.214
56.13 28.24
56.095 28.252
56.085 28.262
56.085 28.278
56.075 28.282
56.057 28.324
56.051 28.361
56.077 28.417
56.089 28.445
56.097 28.451
56.103 28.463
56.107 28.519
56.109 28.558
56.103 28.596
56.095 28.64
56.097 28.664
56.091 28.676
56.081 28.674
56.073 28.668
56.055 28.672
56.033 28.694
56.021 28.712
56 28.719
55.982 28.716
55.974 28.725
55.967 28.738
55.965 28.779
55.964 28.802
55.96 28.826
55.957 28.842
55.96 28.855
55.969 28.855
55.972 28.851
55.979 28.862
55.986 28.878
55.991 28.9
56 28.919
56.002 28.922
56.013 28.945
56.029 28.976
56.041 29.005
56.047 29.024
56.053 29.045
56.053 29.059
56.05 29.069
56.048 29.075
56.047 29.079
56.046 29.085
56.049 29.089
56.053 29.092
56.056 29.096
56.055 29.104
56.049 29.116
56.039 29.131
56.027 29.153
56.014 29.173
56.007 29.187
56 29.197
55.998 29.204
55.99 29.216
55.988 29.229
55.99 29.243
55.991 29.271
55.989 29.303
55.977 29.338
55.971 29.386
55.964 29.426
55.96 29.437
55.955 29.439
55.947 29.435
55.937 29.439
55.935 29.446
55.931 29.465
55.924 29.477
55.918 29.476
55.91 29.471
55.905 29.452
55.899 29.431
55.896 29.414
55.884 29.411
55.871 29.408
55.86 29.397
55.826 29.392
55.818 29.387
55.806 29.377
55.796 29.37
55.786 29.371
55.777 29.37
55.768 29.366
55.767 29.366
55.766 29.366
55.765 29.367
55.764 29.367
55.763 29.367
55.762 29.368
55.761 29.368
55.76 29.368
55.759 29.369
55.758 29.369
55.757 29.37
55.756 29.37
55.755 29.371
55.754 29.371
55.754 29.372
55.753 29.372
55.748 29.39
55.741 29.409
55.741 29.423
55.727 29.445
55.713 29.468
55.704 29.484
55.701 29.501
55.708 29.522
55.72 29.543
55.725 29.567
55.73 29.581
55.741 29.587
55.758 29.594
55.769 29.603
55.778 29.624
55.782 29.659
55.788 29.668
55.791 29.685
55.792 29.706
55.793 29.718
55.798 29.729
55.8 29.735
55.802 29.751
55.8 29.76
55.788 29.768
55.777 29.767
55.776 29.781
55.776 29.803
55.781 29.812
55.788 29.812
55.792 29.812
55.796 29.819
55.8 29.83
55.81 29.836
55.816 29.84
55.82 29.848
55.83 29.866
55.84 29.871
55.848 29.88
55.853 29.903
55.854 29.923
55.851 29.942
55.854 29.964
55.855 29.999
55.855 30
55.849 30.029
55.844 30.046
55.844 30.063
55.844 30.086
55.835 30.102
55.831 30.116
55.835 30.138
55.847 30.161
55.865 30.201
55.868 30.223
55.867 30.255
55.865 30.268
55.86 30.286
55.85 30.289
55.841 30.285
55.838 30.286
55.834 30.294
55.83 30.304
55.828 30.322
55.828 30.344
55.823 30.355
55.821 30.369
55.813 30.39
55.808 30.407
55.807 30.433
55.809 30.453
55.809 30.469
55.807 30.489
55.799 30.504
55.789 30.508
55.774 30.512
55.76 30.517
55.75 30.532
55.743 30.557
55.743 30.59
55.74 30.615
55.73 30.63
55.719 30.638
55.706 30.651
55.699 30.656
55.695 30.647
55.68 30.64
55.67 30.646
55.664 30.656
55.661 30.674
55.652 30.675
55.647 30.681
55.647 30.689
55.649 30.704
55.657 30.716
55.66 30.727
55.659 30.736
55.651 30.745
55.633 30.759
55.618 30.76
55.603 30.761
55.596 30.767
55.592 30.774
55.591 30.787
55.596 30.808
55.605 30.827
55.625 30.848
55.631 30.858
55.626 30.887
55.621 30.918
55.617 30.94
55.609 30.952
55.599 30.956
55.59 30.955
55.576 30.956
55.56 30.965
55.55 30.962
55.542 30.949
55.533 30.935
55.524 30.935
55.505 30.949
55.494 30.957
55.487 30.952
55.483 30.938
55.478 30.911
55.468 30.903
55.458 30.902
55.443 30.913
55.413 30.933
55.399 30.936
55.385 30.929
55.373 30.906
55.365 30.891
55.359 30.891
55.353 30.879
55.338 30.84
55.322 30.829
55.298 30.83
55.29 30.83
55.288 30.849
55.275 30.877
55.263 30.906
55.251 30.911
55.229 30.916
55.214 30.93
55.2 30.947
55.187 30.984
55.178 30.991
55.172 30.992
55.159 30.985
55.149 30.986
55.145 30.999
55.145 31.024
55.142 31.031
55.135 31.03
55.13 31.006
55.122 30.997
55.111 30.996
55.093 30.998
55.082 31.008
55.077 31.021
55.068 31.026
55.053 31.027
55.037 31.021
55.028 31.004
55.029 30.971
55.033 30.947
55.029 30.934
55.019 30.931
55.012 30.938
55.005 30.955
55 30.963
54.999 30.964
54.987 30.956
54.98 30.946
54.97 30.948
54.965 30.951
54.96 30.944
54.953 30.898
54.953 30.862
54.946 30.838
54.935 30.833
54.922 30.839
54.908 30.841
54.879 30.825
54.876 30.811
54.872 30.8
54.859 30.791
54.829 30.773
54.815 30.765
54.808 30.76
54.799 30.768
54.798 30.783
54.796 30.809
54.79 30.834
54.776 30.854
54.764 30.874
54.751 30.909
54.742 30.934
54.729 30.954
54.724 30.967
54.718 30.991
54.717 31.005
54.707 31.017
54.698 31.007
54.679 30.992
54.676 30.994
54.673 30.998
54.674 31.013
54.675 31.03
54.671 31.046
54.67 31.068
54.673 31.073
54.673 31.08
54.668 31.092
54.665 31.101
54.671 31.11
54.674 31.121
54.67 31.153
54.667 31.165
54.671 31.178
54.671 31.188
54.659 31.208
54.657 31.212
54.648 31.208
54.639 31.216
54.627 31.209
54.615 31.2
54.591 31.178
54.581 31.166
54.569 31.16
54.562 31.152
54.555 31.142
54.544 31.133
54.525 31.114
54.517 31.096
54.509 31.089
54.502 31.088
54.495 31.102
54.492 31.125
54.487 31.138
54.479 31.158
54.477 31.193
54.472 31.21
54.465 31.237
54.453 31.245
54.44 31.241
54.434 31.244
54.426 31.258
54.415 31.276
54.403 31.281
54.395 31.28
54.386 31.274
54.379 31.277
54.372 31.285
54.364 31.304
54.352 31.311
54.336 31.314
54.332 31.303
54.326 31.302
54.32 31.309
54.311 31.322
54.301 31.326
54.291 31.324
54.274 31.322
54.263 31.322
54.257 31.323
54.248 31.335
54.243 31.357
54.237 31.377
54.229 31.402
54.21 31.445
54.192 31.486
54.187 31.501
54.18 31.502
54.168 31.494
54.163 31.505
54.162 31.525
54.157 31.548
54.154 31.559
54.141 31.573
54.139 31.586
54.142 31.608
54.143 31.629
54.139 31.649
54.13 31.67
54.119 31.683
54.112 31.691
54.108 31.7
54.111 31.716
54.118 31.762
54.117 31.78
54.113 31.786
54.105 31.787
54.092 31.771
54.087 31.768
54.083 31.775
54.086 31.811
54.083 31.814
54.075 31.816
54.069 31.815
54.061 31.818
54.059 31.829
54.059 31.844
54.059 31.862
54.053 31.865
54.048 31.875
54.045 31.888
54.038 31.893
54.032 31.89
54.024 31.885
54.015 31.868
54.005 31.864
53.999 31.864
53.985 31.86
53.976 31.864
53.97 31.871
53.963 31.87
53.955 31.854
53.95 31.852
53.947 31.853
53.94 31.852
53.933 31.847
53.926 31.84
53.91 31.832
53.898 31.83
53.887 31.829
53.882 31.822
53.875 31.821
53.863 31.816
53.861 31.802
53.857 31.792
53.85 31.787
53.847 31.791
53.84 31.795
53.838 31.789
53.838 31.776
53.836 31.766
53.83 31.77
53.82 31.768
53.816 31.776
53.813 31.776
53.811 31.77
53.804 31.77
53.8 31.767
53.798 31.77
53.798 31.778
53.802 31.784
53.805 31.784
53.803 31.791
53.808 31.795
53.805 31.806
53.807 31.809
53.802 31.814
53.801 31.819
53.803 31.829
53.794 31.852
53.787 31.864
53.785 31.874
53.786 31.885
53.781 31.896
53.777 31.903
53.782 31.904
53.789 31.921
53.788 31.935
53.785 31.948
53.786 31.953
53.792 31.965
53.792 31.975
53.79 31.986
53.798 31.992
53.802 32.001
53.8 32.016
53.801 32.035
53.805 32.053
53.806 32.073
53.808 32.099
53.813 32.112
53.815 32.118
53.815 32.131
53.808 32.145
53.796 32.165
53.794 32.192
53.796 32.208
53.794 32.212
53.789 32.219
53.779 32.222
53.771 32.227
53.769 32.242
53.773 32.261
53.776 32.275
53.775 32.28
53.77 32.288
53.766 32.294
53.764 32.307
53.757 32.315
53.753 32.317
53.751 32.329
53.752 32.342
53.749 32.354
53.745 32.359
53.733 32.361
53.726 32.368
53.725 32.373
53.733 32.408
53.733 32.421
53.731 32.436
53.733 32.447
53.735 32.459
53.732 32.466
53.724 32.473
53.713 32.491
53.705 32.505
53.697 32.507
53.688 32.504
53.678 32.487
53.678 32.474
53.671 32.464
53.663 32.44
53.648 32.422
53.644 32.422
53.64 32.43
53.644 32.442
53.642 32.448
53.632 32.447
53.604 32.439
53.589 32.445
53.58 32.452
53.567 32.475
53.561 32.48
53.552 32.48
53.545 32.512
53.531 32.538
53.522 32.564
53.515 32.6
53.507 32.604
53.5 32.603
53.498 32.604
53.489 32.603
53.485 32.609
53.484 32.625
53.49 32.633
53.497 32.639
53.496 32.653
53.487 32.66
53.48 32.654
53.472 32.654
53.465 32.663
53.465 32.68
53.464 32.734
53.463 32.761
53.457 32.769
53.451 32.771
53.441 32.76
53.428 32.753
53.415 32.751
53.4 32.759
53.395 32.758
53.39 32.751
53.385 32.737
53.371 32.73
53.362 32.73
53.348 32.74
53.34 32.745
53.332 32.739
53.327 32.729
53.328 32.697
53.329 32.676
53.332 32.667
53.332 32.664
53.328 32.652
53.323 32.641
53.325 32.637
53.328 32.634
53.329 32.626
53.325 32.618
53.318 32.616
53.313 32.618
53.312 32.616
53.306 32.595
53.302 32.586
53.295 32.571
53.296 32.562
53.298 32.548
53.292 32.536
53.291 32.527
53.293 32.518
53.294 32.512
53.292 32.507
53.281 32.508
53.269 32.513
53.256 32.506
53.229 32.477
53.212 32.455
53.2 32.437
53.188 32.412
53.185 32.385
53.18 32.365
53.169 32.354
53.149 32.342
53.142 32.331
53.129 32.308
53.127 32.286
53.125 32.262
53.119 32.252
53.112 32.246
53.1 32.235
53.097 32.219
53.099 32.206
53.102 32.19
53.101 32.181
53.094 32.171
53.086 32.163
53.079 32.155
53.078 32.141
53.078 32.092
53.08 32.064
53.087 32.039
53.093 32.021
53.095 32.007
53.089 31.99
53.085 31.971
53.085 31.956
53.086 31.943
53.089 31.93
53.096 31.924
53.104 31.919
53.108 31.914
53.109 31.903
53.11 31.893
53.11 31.874
53.113 31.848
53.119 31.828
53.154 31.803
53.173 31.789
53.18 31.78
53.191 31.755
53.201 31.722
53.209 31.681
53.22 31.638
53.218 31.625
53.211 31.611
53.204 31.603
53.199 31.601
53.19 31.585
53.193 31.537
53.2 31.495
53.204 31.467
53.208 31.439
53.206 31.427
53.202 31.418
53.194 31.419
53.184 31.423
53.176 31.422
53.167 31.419
53.164 31.415
53.147 31.389
53.139 31.379
53.132 31.377
53.121 31.392
53.114 31.404
53.105 31.406
53.098 31.398
53.094 31.375
53.092 31.352
53.085 31.344
53.072 31.341
53.057 31.338
53.039 31.328
53.036 31.317
53.037 31.293
53.037 31.27
53.034 31.257
53.029 31.255
53.027 31.263
53.013 31.291
53.003 31.315
52.997 31.324
52.992 31.339
52.987 31.354
52.976 31.368
52.962 31.374
52.958 31.38
52.951 31.39
52.944 31.388
52.929 31.389
52.918 31.402
52.871 31.466
52.86 31.485
52.857 31.504
52.858 31.527
52.854 31.544
52.846 31.546
52.836 31.545
