segment Svalbard
77.014 16.476
77.011 16.38
77.02 16.352
77.02 16.334
77.015 16.285
77.011 16.276
77 16.281
76.996 16.269
76.998 16.242
77.017 16.215
77.022 16.201
77.024 16.191
77.026 16.151
77.028 16.089
77.031 16.079
77.038 16.069
77.065 16.06
77.083 16.035
77.082 15.976
77.07 15.97
77.055 15.97
77.054 15.954
77.057 15.931
77.068 15.896
77.071 15.891
77.07 15.861
77.067 15.853
77.059 15.847
77.051 15.858
77.033 15.913
77.026 15.919
77.019 15.897
77.021 15.849
77.018 15.789
77.005 15.717
77 15.683
77.011 15.641
77.011 15.63
77.002 15.595
77.005 15.558
77.002 15.48
77.005 15.469
77.002 15.402
77.007 15.37
77.017 15.274
77.029 15.205
77.035 15.175
77.037 15.153
77.043 15.151
77.044 15.161
77.05 15.166
77.055 15.149
77.061 15.145
77.063 15.132
77.074 15.159
77.085 15.146
77.092 15.125
77.094 15.119
77.094 15.094
77.108 15.068
77.117 15.066
77.125 15.081
77.133 15.066
77.133 15.038
77.136 15.021
77.143 15.012
77.143 15
77.144 14.994
77.146 14.952
77.155 14.91
77.157 14.896
77.159 14.869
77.17 14.834
77.177 14.801
77.188 14.714
77.192 14.659
77.191 14.615
77.186 14.579
77.184 14.57
77.182 14.538
77.186 14.524
77.186 14.514
77.176 14.512
77.174 14.496
77.175 14.487
77.178 14.477
77.189 14.454
77.193 14.424
77.197 14.412
77.202 14.41
77.208 14.385
77.225 14.363
77.237 14.35
77.248 14.331
77.255 14.32
77.266 14.322
77.276 14.334
77.283 14.328
77.284 14.311
77.287 14.284
77.292 14.271
77.291 14.245
77.284 14.207
77.286 14.196
77.293 14.198
77.298 14.171
77.309 14.165
77.317 14.174
77.354 14.157
77.359 14.145
77.363 14.118
77.386 14.076
77.392 14.065
77.401 14.024
77.413 13.995
77.418 13.963
77.432 13.961
77.436 13.983
77.444 13.988
77.444 13.984
77.452 13.996
77.453 14.018
77.447 14.053
77.447 14.085
77.454 14.085
77.471 14.07
77.479 14.044
77.484 13.977
77.49 13.945
77.498 13.936
77.508 13.945
77.528 13.942
77.547 14.024
77.549 14.034
77.578 14.252
77.581 14.319
77.58 14.374
77.572 14.436
77.571 14.499
77.564 14.556
77.546 14.584
77.533 14.604
77.529 14.605
77.524 14.612
77.512 14.6
77.496 14.53
77.496 14.525
77.489 14.531
77.49 14.615
77.497 14.636
77.496 14.664
77.494 14.672
77.487 14.696
77.485 14.717
77.488 14.782
77.494 14.81
77.516 14.79
77.516 14.786
77.528 14.781
77.547 14.8
77.545 14.872
77.546 14.881
77.562 14.989
77.562 15
77.561 15.028
77.557 15.042
77.543 15.141
77.543 15.206
77.54 15.254
77.54 15.326
77.533 15.402
77.534 15.405
77.528 15.455
77.526 15.516
77.526 15.552
77.53 15.581
77.536 15.661
77.534 15.684
77.528 15.783
77.521 15.815
77.519 15.838
77.506 15.884
77.493 15.944
77.491 15.959
77.481 15.976
77.478 16.002
77.47 16.034
77.455 16.085
77.445 16.112
77.442 16.166
77.432 16.221
77.433 16.23
77.439 16.234
77.45 16.216
77.456 16.221
77.473 16.195
77.478 16.214
77.476 16.254
77.47 16.314
77.471 16.339
77.475 16.301
77.484 16.268
77.483 16.231
77.484 16.197
77.496 16.131
77.503 16.112
77.508 16.073
77.51 16.038
77.524 15.999
77.542 15.95
77.55 15.947
77.552 15.947
77.561 15.916
77.566 15.836
77.565 15.837
77.576 15.769
77.577 15.728
