segment Svalbard
78.44 16.569
78.448 16.551
78.443 16.494
78.443 16.441
78.436 16.43
78.435 16.409
78.44 16.395
78.445 16.363
78.454 16.314
78.46 16.306
78.46 16.347
78.464 16.371
78.485 16.412
78.511 16.458
78.532 16.464
78.549 16.521
78.549 16.523
78.559 16.536
78.576 16.541
78.595 16.633
78.604 16.66
78.614 16.662
78.622 16.696
78.632 16.712
78.645 16.745
78.645 16.77
78.648 16.802
78.649 16.833
78.65 16.843
78.66 16.863
78.678 16.866
78.678 16.836
78.674 16.656
78.679 16.643
78.689 16.65
78.715 16.596
78.724 16.564
78.725 16.54
78.718 16.504
78.697 16.46
78.674 16.471
78.663 16.451
78.654 16.386
78.651 16.342
78.637 16.383
78.62 16.398
78.601 16.373
78.576 16.311
78.559 16.297
78.556 16.267
78.549 16.251
78.546 16.204
78.526 16.11
78.526 16.064
78.526 16.061
78.537 16
78.503 16.037
78.484 15.953
78.482 15.907
78.479 15.865
78.473 15.791
78.471 15.696
78.458 15.608
78.458 15.555
78.459 15.554
78.457 15.476
78.462 15.423
78.486 15.343
78.497 15.301
78.506 15.283
78.567 15.247
78.573 15.239
78.576 15.242
78.584 15.209
78.605 15.149
78.606 15.161
78.597 15.192
78.594 15.22
78.597 15.246
78.603 15.233
78.603 15.225
78.599 15.214
78.6 15.203
78.605 15.196
78.607 15.18
78.61 15.203
78.609 15.233
78.61 15.281
78.616 15.381
78.625 15.402
78.631 15.45
78.637 15.468
78.651 15.455
78.651 15.45
78.654 15.453
78.67 15.471
78.674 15.486
78.683 15.492
78.7 15.469
78.704 15.49
78.714 15.478
78.736 15.498
78.751 15.488
78.769 15.465
78.779 15.422
78.785 15.418
78.79 15.437
78.798 15.445
78.825 15.457
78.835 15.443
78.843 15.384
78.847 15.37
78.847 15.343
78.847 15.332
78.841 15.32
78.835 15.288
78.83 15.277
78.797 15.251
78.786 15.223
78.778 15.226
78.767 15.19
78.74 15.175
78.732 15.178
78.724 15.214
78.718 15.214
78.718 15.206
78.715 15.185
78.704 15.189
78.695 15.218
78.689 15.203
78.662 15.25
78.656 15.241
78.66 15.177
78.653 15.102
78.646 15.067
78.637 15.056
78.635 15.055
78.633 15
78.633 14.987
78.624 14.989
78.619 15
78.612 15.017
78.606 15.009
78.604 15
78.597 14.972
78.594 14.968
78.594 14.949
78.603 14.932
78.607 14.893
78.619 14.87
78.621 14.847
78.628 14.83
78.633 14.828
78.641 14.785
78.643 14.785
78.65 14.783
78.669 14.844
78.678 14.834
78.691 14.848
78.718 14.826
78.718 14.831
78.729 14.825
78.741 14.78
78.739 14.773
78.735 14.778
78.733 14.768
78.735 14.736
78.734 14.707
78.733 14.686
78.733 14.668
78.731 14.662
78.717 14.666
78.708 14.641
78.701 14.63
78.693 14.571
78.688 14.53
78.688 14.504
78.685 14.441
78.675 14.458
78.672 14.473
78.669 14.501
78.661 14.539
78.648 14.555
78.639 14.536
78.623 14.546
78.59 14.54
78.573 14.559
78.568 14.568
78.561 14.598
78.558 14.622
78.556 14.622
78.552 14.601
78.554 14.567
78.554 14.551
78.553 14.55
78.55 14.566
78.547 14.619
78.544 14.62
78.543 14.607
78.546 14.54
78.543 14.514
78.545 14.5
78.534 14.487
78.533 14.466
78.53 14.455
78.523 14.461
78.517 14.455
78.51 14.395
78.502 14.389
78.492 14.405
78.487 14.416
78.478 14.425
78.474 14.445
78.472 14.503
78.466 14.575
78.462 14.6
78.443 14.662
78.426 14.674
78.394 14.769
78.39 14.778
78.388 14.791
78.378 14.792
78.374 14.786
78.375 14.778
78.383 14.77
78.389 14.738
78.389 14.732
78.387 14.73
78.385 14.714
78.386 14.686
78.385 14.675
78.38 14.658
78.379 14.634
78.393 14.531
78.391 14.456
78.39 14.447
78.383 14.447
78.372 14.465
78.369 14.462
78.377 14.418
78.388 14.39
78.402 14.299
78.402 14.277
78.403 14.266
78.398 14.231
78.392 14.208
78.382 14.214
78.375 14.222
78.368 14.235
78.359 14.254
78.35 14.243
78.347 14.269
78.345 14.299
78.334 14.271
78.327 14.277
78.32 14.301
78.317 14.326
78.305 14.319
78.299 14.297
78.285 14.179
78.274 14.14
78.264 14.12
78.256 14.134
78.247 14.106
78.253 14.086
78.273 14.086
78.292 14.114
78.296 14.104
78.292 14.089
78.28 14.077
78.277 14.064
78.29 14.034
78.293 14.021
78.293 14.012
78.28 13.96
78.273 13.966
78.26 13.954
78.238 13.959
78.231 13.95
78.229 13.932
78.248 13.882
78.27 13.807
78.268 13.769
78.262 13.759
78.256 13.758
78.246 13.786
78.247 13.803
78.237 13.839
78.227 13.854
78.22 13.873
78.214 13.866
78.21 13.849
78.201 13.741
78.201 13.686
78.199 13.658
78.204 13.521
78.211 13.474
78.212 13.403
78.217 13.321
78.223 13.237
78.23 13.202
78.23 13.162
78.229 13.14
78.227 13.127
78.218 13.104
78.209 13.081
78.202 12.998
78.21 12.998
78.216 12.976
78.23 12.953
78.253 12.915
78.262 12.96
78.267 12.934
78.271 12.944
78.286 12.946
78.292 12.961
78.312 12.928
78.315 12.915
78.316 12.879
78.318 12.873
78.326 12.87
78.327 12.884
78.321 12.905
78.326 12.919
78.334 12.889
78.34 12.885
78.342 12.881
78.351 12.891
78.358 12.904
78.362 12.842
78.367 12.811
78.369 12.807
78.369 12.787
78.367 12.776
78.37 12.735
78.365 12.718
78.364 12.709
78.37 12.691
78.373 12.691
78.38 12.651
78.387 12.632
78.387 12.626
78.398 12.573
78.427 12.504
78.452 12.446
78.47 12.42
78.486 12.384
78.492 12.383
78.498 12.418
78.502 12.503
78.505 12.646
78.503 12.72
78.502 12.731
78.501 12.745
78.505 12.959
78.508 12.984
78.507 13.009
78.515 13.049
78.517 13.126
78.529 13.153
78.531 13.151
78.533 13.164
78.539 13.219
78.541 13.218
78.544 13.217
78.547 13.168
78.553 13.128
78.553 13.091
78.548 13.085
78.545 13.04
78.54 13.016
78.538 12.986
78.537 12.953
78.534 12.931
78.529 12.907
78.529 12.902
78.528 12.866
78.537 12.765
78.537 12.716
78.542 12.638
78.541 12.587
78.546 12.393
78.55 12.376
78.565 12.362
78.592 12.363
78.595 12.348
78.592 12.277
78.595 12.252
78.592 12.197
78.594 12.188
78.597 12.176
78.599 12.127
78.608 12.071
78.608 12.037
78.632 11.954
78.638 11.913
78.649 11.895
78.668 11.841
78.678 11.831
78.68 11.84
78.683 11.864
78.694 11.854
78.711 11.811
78.709 11.796
78.707 11.761
78.717 11.712
78.721 11.69
78.727 11.676
78.727 11.669
78.725 11.659
78.728 11.638
78.737 11.618
78.738 11.64
78.748 11.632
78.742 11.577
78.744 11.567
78.756 11.629
78.762 11.642
78.769 11.659
78.788 11.691
78.799 11.685
78.807 11.693
78.813 11.73
78.826 11.775
78.825 11.776
78.826 11.796
78.818 11.889
78.819 11.911
78.823 11.936
78.834 11.931
78.849 11.86
78.853 11.824
78.854 11.812
78.856 11.745
78.874 11.596
78.941 11.385
78.949 11.36
78.958 11.356
78.967 11.341
78.973 11.345
78.973 11.384
78.974 11.426
78.978 11.481
78.978 11.519
78.97 11.649
78.959 11.745
78.956 11.787
78.954 11.81
78.946 11.865
78.933 11.872
78.93 11.892
78.932 11.924
78.931 11.958
78.926 11.985
78.916 12.131
78.909 12.189
78.896 12.27
78.896 12.298
78.898 12.354
78.899 12.359
78.902 12.371
78.907 12.428
78.912 12.496
78.915 12.503
78.929 12.462
78.943 12.46
78.953 12.449
78.972 12.449
78.975 12.455
78.987 12.424
78.997 12.4
79.001 12.361
79.002 12.29
78.995 12.242
78.99 12.237
78.983 12.23
78.976 12.205
78.975 12.186
78.967 12.128
78.963 12.065
78.968 12.022
78.974 11.997
78.989 11.984
78.994 11.994
78.998 12.037
78.999 12.093
79.001 12.114
79.007 12.105
79.011 12.053
79.009 12.033
79.011 11.983
79.025 11.94
79.028 11.928
79.034 11.888
79.04 11.817
79.056 11.776
79.064 11.739
79.068 11.688
79.074 11.672
79.097 11.755
79.113 11.79
79.117 11.81
79.123 11.819
79.125 11.846
79.126 11.883
79.135 11.887
79.14 11.851
79.144 11.847
79.152 11.85
79.155 11.866
79.158 11.861
79.162 11.872
79.195 11.89
79.205 11.96
79.207 11.994
79.203 12.078
79.207 12.113
79.212 12.108
79.227 12.024
79.236 12.027
79.261 12.101
79.263 12.102
79.274 12.073
79.281 12.071
79.298 12.132
79.307 12.073
79.305 12.068
79.299 12.035
79.29 11.961
79.282 11.942
79.286 11.898
79.293 11.873
79.294 11.847
79.273 11.836
79.259 11.876
79.246 11.889
79.23 11.892
79.227 11.891
79.22 11.865
79.219 11.832
79.221 11.826
79.227 11.806
79.263 11.744
79.307 11.694
79.314 11.67
79.311 11.629
79.309 11.605
79.311 11.58
79.308 11.547
79.297 11.545
79.288 11.563
79.282 11.551
79.278 11.509
79.273 11.543
79.27 11.592
79.248 11.628
79.243 11.647
79.217 11.691
79.201 11.7
79.193 11.673
79.18 11.681
79.167 11.665
79.159 11.636
79.158 11.612
79.164 11.588
79.165 11.605
79.167 11.608
79.169 11.582
79.167 11.563
79.16 11.554
79.153 11.586
79.154 11.614
79.15 11.62
79.135 11.531
79.114 11.436
79.112 11.403
79.11 11.319
79.111 11.255
79.113 11.246
79.114 11.233
79.117 11.192
79.121 11.183
79.135 11.2
79.15 11.19
79.196 11.18
79.226 11.153
79.236 11.133
79.248 11.125
79.252 11.111
79.269 11.043
79.275 11.035
79.281 11.042
79.285 11.047
79.292 11.024
79.298 11.025
79.302 11.021
79.304 11.007
79.311 10.998
79.313 10.985
79.321 10.953
79.327 10.921
79.33 10.905
79.348 10.878
79.368 10.857
79.372 10.869
79.377 10.929
79.386 10.926
79.393 10.899
79.411 10.86
79.418 10.862
79.419 10.894
79.422 10.909
79.436 10.921
79.45 10.937
79.476 10.909
79.504 10.809
79.505 10.779
79.509 10.734
79.522 10.695
79.528 10.7
79.53 10.721
79.534 10.712
79.534 10.684
79.539 10.664
79.554 10.675
79.56 10.704
79.563 10.759
79.561 10.879
79.562 10.923
79.557 10.96
79.556 10.996
79.561 11.042
79.561 11.047
79.558 11.068
79.554 11.159
79.56 11.169
79.564 11.164
79.571 11.105
79.578 11.056
79.577 11.043
79.585 10.944
79.601 10.828
79.605 10.826
79.616 10.883
79.615 10.884
79.628 10.935
79.642 10.967
79.643 11.008
79.647 11.038
79.647 11.079
79.645 11.104
79.633 11.127
79.636 11.194
79.633 11.275
79.634 11.295
79.634 11.372
79.628 11.42
79.628 11.43
79.639 11.486
79.651 11.419
79.652 11.391
79.647 11.369
79.655 11.357
79.666 11.315
79.669 11.315
79.674 11.276
79.688 11.244
79.695 11.249
79.698 11.247
79.703 11.229
79.712 11.194
79.72 11.205
79.721 11.204
79.726 11.202
79.728 11.177
79.749 11.196
79.749 11.229
79.756 11.26
79.76 11.263
79.767 11.213
79.78 11.211
79.781 11.234
79.78 11.271
79.78 11.385
79.766 11.445
79.766 11.455
79.764 11.507
79.769 11.554
79.779 11.546
79.808 11.494
79.814 11.554
79.808 11.588
79.805 11.583
79.8 11.595
79.81 11.63
79.816 11.608
79.819 11.626
79.826 11.63
79.832 11.66
79.831 11.672
79.828 11.676
79.833 11.71
79.834 11.752
79.841 11.791
79.839 11.84
79.819 11.869
79.805 11.884
79.791 11.808
79.789 11.831
79.787 11.835
79.786 11.848
79.786 11.89
79.785 11.94
79.772 11.982
79.769 11.959
79.747 11.963
79.735 11.987
79.734 12.001
79.733 12.023
79.722 12.042
79.715 12.041
79.711 12.023
79.705 12.059
79.705 12.054
79.702 12.059
79.697 12.045
79.689 12.045
79.682 12.055
79.676 12.087
79.665 12.083
79.662 12.089
79.661 12.098
79.66 12.116
79.663 12.148
79.665 12.155
79.686 12.159
79.701 12.149
79.706 12.153
79.705 12.193
79.68 12.247
79.677 12.267
79.662 12.227
79.66 12.301
79.664 12.325
79.668 12.335
79.693 12.356
79.736 12.28
79.743 12.206
79.747 12.174
79.75 12.173
79.751 12.193
79.749 12.206
79.747 12.226
79.753 12.231
79.762 12.179
79.764 12.18
79.771 12.184
79.79 12.155
79.799 12.151
79.804 12.16
79.821 12.232
79.826 12.19
79.829 12.203
79.841 12.198
79.844 12.225
79.84 12.26
79.839 12.3
79.832 12.349
79.832 12.377
79.839 12.396
79.839 12.42
79.832 12.431
79.828 12.43
79.823 12.428
79.809 12.46
79.801 12.489
79.796 12.429
79.789 12.42
79.781 12.442
79.784 12.465
79.794 12.478
79.796 12.504
79.787 12.525
79.777 12.528
79.768 12.555
79.758 12.506
79.755 12.5
79.752 12.48
79.745 12.487
79.745 12.495
79.746 12.506
79.75 12.509
79.754 12.527
79.755 12.542
79.754 12.572
79.76 12.581
79.761 12.619
79.765 12.649
79.768 12.659
79.773 12.673
79.778 12.697
79.772 12.741
79.773 12.818
79.776 12.846
79.797 12.951
79.822 13.065
79.824 13.108
79.824 13.198
79.831 13.219
79.832 13.237
79.828 13.254
79.829 13.269
79.839 13.281
79.846 13.345
79.855 13.398
79.853 13.466
79.857 13.605
79.867 13.688
79.875 13.743
79.876 13.753
79.877 13.786
79.87 13.818
79.868 13.855
79.847 13.911
79.827 13.928
79.808 13.973
79.792 13.949
79.778 13.969
79.77 13.951
79.752 13.909
79.751 13.898
79.736 13.885
79.718 13.782
79.71 13.71
79.707 13.703
79.697 13.684
79.695 13.697
79.693 13.713
79.698 13.741
79.699 13.767
79.69 13.74
79.689 13.722
79.69 13.698
79.695 13.625
79.696 13.58
79.697 13.492
79.699 13.455
79.699 13.416
79.706 13.356
79.705 13.346
79.7 13.35
79.699 13.316
79.706 13.285
79.705 13.27
79.705 13.252
79.697 13.219
79.693 13.21
79.691 13.164
79.696 13.074
79.696 13.037
79.693 13.017
79.685 12.993
79.677 13.021
79.67 13.017
79.664 12.988
79.653 12.904
79.633 12.84
79.631 12.812
79.623 12.791
79.62 12.77
79.613 12.773
79.611 12.718
79.605 12.689
79.6 12.686
79.592 12.633
79.587 12.573
79.591 12.507
79.592 12.468
79.589 12.439
79.586 12.411
79.58 12.392
79.571 12.437
79.561 12.448
79.559 12.493
79.548 12.53
79.549 12.58
79.543 12.614
79.544 12.64
79.547 12.656
79.552 12.665
79.556 12.687
79.557 12.708
79.558 12.72
79.562 12.723
79.563 12.753
79.559 12.795
79.561 12.809
79.572 12.868
79.572 12.923
79.574 12.944
79.584 12.969
79.587 13.044
79.592 13.144
79.596 13.184
79.597 13.275
79.584 13.381
79.578 13.468
79.574 13.493
79.564 13.493
79.548 13.416
79.544 13.411
79.534 13.4
79.52 13.361
79.518 13.33
79.522 13.288
79.523 13.26
79.519 13.247
79.505 13.27
79.496 13.267
79.477 13.223
79.469 13.224
79.463 13.247
79.462 13.329
79.457 13.353
79.441 13.388
79.436 13.413
79.438 13.459
79.441 13.468
79.46 13.455
79.472 13.414
79.481 13.399
79.485 13.409
79.487 13.451
79.489 13.508
79.486 13.554
79.486 13.59
79.462 13.648
79.452 13.702
79.443 13.704
79.441 13.724
79.435 13.734
79.429 13.769
79.42 13.748
79.404 13.812
79.403 13.814
79.38 13.871
79.377 13.909
79.342 13.907
79.327 13.891
79.317 13.902
79.305 13.88
79.294 13.873
79.287 13.882
79.281 13.928
79.288 13.997
79.287 14
79.28 14.02
79.274 13.985
79.269 13.989
79.266 14.019
79.269 14.065
79.272 14.06
79.286 14.076
79.302 14.089
79.315 14.082
79.324 14.09
79.335 14.131
79.341 14.144
79.362 14.112
79.367 14.116
79.38 14.094
79.388 14.067
79.396 13.997
79.402 13.985
79.413 14.006
79.419 14.006
79.427 13.973
79.433 13.979
79.45 14.014
79.458 13.985
79.473 13.966
79.486 13.898
79.492 13.886
79.494 13.921
79.499 13.925
79.507 13.901
79.522 13.879
79.527 13.884
79.533 13.875
79.537 13.84
79.547 13.874
79.569 13.914
79.581 13.953
79.587 13.996
79.596 14.037
79.602 14.047
79.607 14.056
79.614 14.106
79.615 14.144
79.61 14.193
79.61 14.207
79.61 14.247
79.614 14.251
79.616 14.22
79.623 14.193
79.624 14.165
79.626 14.144
79.639 14.118
79.648 14.147
79.66 14.257
79.663 14.306
79.667 14.279
79.666 14.238
79.669 14.217
79.678 14.207
79.683 14.223
79.728 14.345
79.749 14.373
79.769 14.422
79.794 14.485
79.801 14.522
79.803 14.558
79.795 14.574
79.796 14.601
79.794 14.671
79.786 14.736
79.768 14.827
79.754 14.871
79.74 14.919
79.731 14.939
79.725 14.942
79.703 15
79.697 15.013
79.687 15.03
79.673 15.035
79.666 15.061
79.651 15.09
79.622 15.164
79.617 15.192
79.614 15.206
79.609 15.263
79.597 15.236
79.576 15.222
79.546 15.238
79.526 15.213
79.517 15.27
79.512 15.295
79.51 15.342
79.502 15.349
79.496 15.34
79.479 15.344
79.473 15.365
79.473 15.397
79.457 15.394
79.432 15.406
79.424 15.386
79.408 15.412
79.398 15.42
79.366 15.416
79.364 15.425
79.354 15.46
79.349 15.467
79.325 15.502
79.314 15.531
79.304 15.587
79.3 15.576
79.287 15.587
79.262 15.652
79.258 15.696
79.249 15.718
79.244 15.741
79.236 15.754
79.185 15.662
79.171 15.626
79.164 15.62
79.159 15.625
79.15 15.636
79.139 15.602
79.123 15.634
79.107 15.648
79.099 15.693
79.098 15.735
79.102 15.737
79.12 15.7
79.132 15.72
79.148 15.72
79.157 15.738
79.161 15.768
79.169 15.799
79.17 15.824
79.152 15.882
79.139 15.912
79.108 15.981
79.082 16.027
79.051 16.073
79.039 16.07
79.019 16.086
79.017 16.088
79.009 16.125
78.998 16.124
78.971 16.172
78.958 16.227
78.956 16.244
78.946 16.275
78.926 16.302
78.912 16.367
78.909 16.383
78.908 16.39
78.909 16.447
78.913 16.523
78.932 16.507
78.939 16.448
78.948 16.426
78.952 16.448
78.961 16.435
78.967 16.423
78.971 16.389
78.979 16.37
79.014 16.355
79.018 16.351
79.035 16.333
79.05 16.283
79.061 16.289
79.101 16.262
79.111 16.232
79.119 16.224
79.122 16.201
79.132 16.159
79.153 16.157
79.167 16.14
79.207 16.109
79.222 16.125
79.248 16.076
79.254 16.066
79.273 16.038
79.3 15.947
79.322 15.94
79.327 15.947
79.357 15.927
79.373 15.931
79.384 15.933
79.439 15.89
79.497 15.866
79.509 15.854
79.512 15.846
79.528 15.845
79.547 15.829
79.55 15.835
79.55 15.87
79.558 15.873
79.559 15.874
79.56 15.847
79.565 15.824
79.635 15.775
79.647 15.746
79.644 15.735
79.645 15.722
79.648 15.716
79.661 15.733
79.673 15.715
79.673 15.72
79.693 15.659
79.7 15.664
79.704 15.685
79.713 15.688
79.723 15.688
79.745 15.654
79.76 15.641
79.766 15.658
79.77 15.638
79.776 15.641
79.779 15.681
79.779 15.688
79.791 15.63
79.799 15.628
79.807 15.615
79.816 15.643
79.819 15.639
79.823 15.633
79.828 15.638
79.828 15.644
79.83 15.641
79.845 15.612
79.845 15.645
79.855 15.641
79.863 15.648
79.873 15.693
79.874 15.748
79.868 15.857
79.866 15.975
79.863 16.062
79.864 16.1
79.865 16.134
79.873 16.103
79.88 16.069
79.885 16.089
79.888 16.059
79.9 15.997
79.907 15.977
79.916 15.953
79.933 15.922
79.939 15.939
79.956 15.94
79.976 15.956
79.977 15.985
79.981 16.001
79.992 16.012
79.996 16.002
80 15.972
80.012 15.997
80.016 16.018
80.027 16.048
80.029 16.092
80.041 16.149
80.047 16.135
80.05 16.146
80.057 16.146
80.06 16.163
80.059 16.2
80.063 16.22
80.065 16.231
80.068 16.265
80.066 16.29
80.053 16.346
80.051 16.388
80.052 16.42
80.058 16.436
80.059 16.449
80.049 16.462
80.046 16.496
80.048 16.546
80.04 16.561
80.032 16.528
80.027 16.541
80 16.553
79.981 16.582
79.963 16.62
79.951 16.676
79.948 16.703
79.947 16.752
79.932 16.67
79.923 16.661
79.906 16.687
79.894 16.73
79.885 16.745
79.884 16.785
79.874 16.798
79.863 16.862
79.862 16.902
79.865 16.922
79.915 16.85
79.918 16.846
79.927 16.894
79.941 16.909
79.945 16.937
79.952 16.971
79.952 16.973
79.958 17.02
79.953 17.038
79.954 17.104
79.929 17.311
79.929 17.337
79.932 17.368
79.927 17.38
79.918 17.369
79.912 17.394
79.908 17.388
79.897 17.436
79.896 17.453
79.89 17.569
79.875 17.622
79.858 17.669
79.837 17.756
segment Svalbard
76.522 16.528
76.516 16.542
76.491 16.647
76.488 16.646
76.481 16.629
76.469 16.626
76.467 16.615
76.469 16.599
76.473 16.581
76.482 16.558
76.499 16.551
76.5 16.554
76.497 16.57
76.5 16.574
76.506 16.565
76.506 16.549
76.505 16.547
76.504 16.537
76.509 16.516
76.512 16.511
76.518 16.52
76.522 16.517
76.522 16.528
segment Svalbard
79.423 19.522
79.441 19.525
79.443 19.549
79.433 19.665
79.426 19.655
79.423 19.522
segment Svalbard
80.616 19.773
80.617 19.752
80.621 19.739
80.631 19.75
80.635 19.765
80.636 19.776
80.626 19.789
80.622 19.816
80.619 19.819
80.617 19.81
80.616 19.773
segment Svalbard
80.242 18.395
80.243 18.385
80.258 18.386
80.269 18.375
80.272 18.361
80.271 18.302
80.276 18.252
80.287 18.228
80.288 18.212
80.29 18.169
80.289 18.117
80.285 18.093
80.293 18.069
80.311 18.083
80.34 18.106
80.34 18.084
80.344 18.086
80.366 18.169
80.371 18.231
80.371 18.254
80.378 18.31
80.378 18.329
80.373 18.344
80.373 18.358
80.377 18.378
80.376 18.392
80.367 18.412
80.363 18.434
80.362 18.44
80.358 18.52
80.354 18.532
80.347 18.532
80.342 18.519
80.337 18.526
80.335 18.542
80.337 18.579
80.333 18.575
80.32 18.495
80.314 18.495
80.307 18.475
80.305 18.483
80.307 18.503
80.317 18.532
80.316 18.544
80.301 18.59
80.3 18.618
80.3 18.62
80.302 18.646
80.301 18.678
80.303 18.693
80.307 18.696
80.31 18.719
80.308 18.724
80.3 18.722
80.293 18.706
80.29 18.687
80.289 18.633
80.286 18.613
80.271 18.609
80.264 18.597
80.259 18.568
80.256 18.52
80.256 18.45
80.254 18.436
80.247 18.422
80.242 18.395
segment Svalbard
80.319 18.716
80.32 18.703
80.33 18.717
80.33 18.731
80.335 18.745
80.336 18.769
80.331 18.769
80.328 18.753
80.324 18.747
80.319 18.716
segment Svalbard
80.308 18.619
80.309 18.599
80.324 18.615
80.329 18.625
80.329 18.642
80.31 18.642
80.308 18.619
segment Svalbard
80.231 18.818
80.233 18.805
80.239 18.814
80.242 18.828
80.241 18.844
80.236 18.845
80.232 18.836
80.231 18.818
segment Svalbard
80.108 17.938
80.119 17.931
80.121 17.94
80.12 17.958
80.111 17.971
80.108 17.956
80.108 17.938
segment Svalbard
79.338 20.661
79.341 20.626
79.353 20.565
79.358 20.561
79.338 20.684
79.338 20.661
segment Svalbard
79.306 21.179
79.307 21.155
79.31 21.128
79.317 21.128
79.312 21.149
79.311 21.176
79.306 21.179
segment Svalbard
79.288 21.168
79.276 21.215
79.273 21.209
79.273 21.201
79.28 21.181
79.279 21.165
79.281 21.147
79.286 21.139
79.291 21.066
79.297 21.056
79.296 21.109
79.292 21.155
79.288 21.168
segment Svalbard
79.254 20.155
79.262 20.151
79.264 20.167
79.269 20.172
79.272 20.201
79.267 20.202
79.255 20.179
79.254 20.155
segment Svalbard
79.03 21.083
79.029 21.021
79.024 20.989
79.019 20.974
79.018 20.942
79.029 20.953
79.035 20.924
79.038 20.963
79.033 20.996
79.032 21.023
79.034 21.124
79.04 21.146
79.041 21.184
79.036 21.183
79.034 21.15
79.028 21.1
79.03 21.083
segment Svalbard
78.978 21.706
78.969 21.699
78.965 21.722
78.964 21.69
78.975 21.65
78.979 21.657
78.989 21.619
78.992 21.631
78.987 21.669
78.982 21.685
78.983 21.71
78.984 21.734
78.987 21.742
78.988 21.77
78.984 21.807
78.984 21.82
78.981 21.825
78.979 21.797
78.981 21.782
78.978 21.768
78.977 21.757
78.98 21.732
78.978 21.706
segment Svalbard
78.899 21.114
78.903 21.11
78.905 21.175
78.904 21.189
78.899 21.114
segment Svalbard
78.645 21.221
78.649 21.207
78.654 21.21
78.655 21.219
78.662 21.206
78.664 21.217
78.666 21.216
78.667 21.23
78.667 21.27
78.661 21.295
78.651 21.308
78.651 21.302
78.649 21.304
78.649 21.294
78.643 21.298
78.64 21.287
78.639 21.258
78.641 21.233
78.645 21.221
segment Svalbard
78.635 21.289
78.636 21.285
78.639 21.325
78.638 21.346
78.633 21.342
78.635 21.289
segment Svalbard
78.631 20.258
78.631 20.225
78.634 20.214
78.639 20.213
78.638 20.228
78.636 20.239
78.636 20.263
78.631 20.258
segment Svalbard
78.607 21.74
78.604 21.748
78.605 21.775
78.613 21.787
78.606 21.803
78.598 21.786
78.592 21.783
78.587 21.795
78.584 21.813
78.585 21.833
78.583 21.842
78.582 21.869
78.588 21.876
78.589 21.9
78.581 21.94
78.556 21.998
78.542 22.011
78.529 22.001
78.519 22.012
78.499 22.076
78.494 22.093
78.487 22.098
78.484 22.117
78.474 22.132
78.451 22.139
78.429 22.132
78.419 22.143
78.406 22.18
78.403 22.187
78.386 22.201
78.361 22.207
78.345 22.197
78.301 22.141
78.283 22.132
78.281 22.141
78.278 22.111
78.268 22.075
78.262 22.044
78.262 21.96
78.264 21.874
78.25 21.805
78.25 21.753
78.253 21.723
78.261 21.688
78.262 21.676
78.264 21.658
78.262 21.611
78.251 21.545
78.244 21.396
78.235 21.304
78.229 21.196
78.227 21.189
78.219 21.162
78.215 21.102
78.206 21.068
78.208 21
78.213 20.989
78.22 21.013
78.227 20.986
78.233 20.883
78.234 20.817
78.231 20.767
78.231 20.73
78.237 20.715
78.24 20.732
78.252 20.713
78.259 20.714
78.258 20.738
78.259 20.756
78.265 20.781
78.277 20.792
78.28 20.778
78.295 20.774
78.305 20.734
78.311 20.705
78.313 20.676
78.311 20.632
78.308 20.644
78.305 20.642
78.309 20.616
78.312 20.614
78.316 20.622
78.318 20.58
78.321 20.563
78.324 20.558
78.32 20.666
78.336 20.665
78.341 20.668
78.342 20.674
78.343 20.64
78.348 20.622
78.351 20.632
78.351 20.654
78.353 20.662
78.36 20.662
78.363 20.652
78.37 20.67
78.376 20.663
78.394 20.675
78.416 20.614
78.44 20.592
78.446 20.565
78.456 20.472
78.467 20.388
78.466 20.35
78.472 20.329
78.469 20.284
78.474 20.268
78.478 20.23
78.478 20.196
78.484 20.169
78.488 20.19
78.504 20.221
78.514 20.28
78.515 20.289
78.523 20.424
78.525 20.493
78.533 20.563
78.539 20.645
78.544 20.654
78.545 20.68
78.542 20.727
78.544 20.771
78.553 20.852
78.557 20.887
78.558 20.928
78.554 20.959
78.553 20.999
78.57 21.067
78.587 21.116
78.601 21.097
78.615 21.102
78.621 21.113
78.629 21.167
78.633 21.179
78.634 21.195
78.637 21.202
78.638 21.217
78.634 21.233
78.631 21.319
78.621 21.345
78.588 21.404
78.576 21.461
78.587 21.467
78.598 21.469
78.603 21.469
78.608 21.491
78.615 21.599
78.617 21.614
78.621 21.639
78.622 21.696
78.607 21.74
segment Svalbard
78.565 20.802
78.567 20.804
78.569 20.82
78.567 20.83
78.565 20.825
78.565 20.802
segment Svalbard
78.292 22.452
78.291 22.465
78.268 22.438
78.268 22.432
78.271 22.422
78.276 22.426
78.292 22.452
segment Svalbard
77.847 23.749
77.853 23.805
77.866 23.888
77.872 23.96
77.877 24.042
77.871 24.092
77.862 24.139
77.857 24.155
77.856 24.168
77.852 24.223
77.845 24.288
77.841 24.323
77.84 24.353
77.834 24.371
77.825 24.357
77.817 24.294
77.809 24.264
77.778 24.18
77.751 24.149
77.735 24.194
77.722 24.208
77.718 24.232
77.695 24.29
77.689 24.297
77.678 24.311
77.665 24.285
77.651 24.235
77.646 24.202
77.642 24.14
77.641 24.06
77.638 23.927
77.629 23.943
77.629 23.968
77.628 23.999
77.624 24.102
77.621 24.119
77.618 24.144
77.608 24.167
77.598 24.176
77.583 24.171
77.573 24.148
