segment Yugoslavia
44.851 14.833
44.843 14.838
44.841 14.836
44.842 14.831
44.837 14.831
44.835 14.827
44.829 14.825
segment Yugoslavia
44.763 14.306
44.764 14.301
44.767 14.3
44.779 14.306
44.785 14.305
44.79 14.309
44.792 14.315
44.79 14.316
44.763 14.306
segment Yugoslavia
44.69 14.835
44.692 14.827
44.695 14.824
44.701 14.823
44.707 14.814
44.721 14.8
44.74 14.771
44.742 14.771
44.742 14.776
44.736 14.785
44.736 14.788
44.728 14.798
44.723 14.807
44.718 14.808
44.711 14.814
44.707 14.822
44.706 14.824
44.693 14.836
44.691 14.837
44.69 14.835
segment Yugoslavia
44.475 14.519
44.477 14.512
44.486 14.506
44.486 14.499
44.49 14.497
44.493 14.489
44.497 14.49
44.5 14.485
44.506 14.484
44.509 14.48
44.51 14.471
44.517 14.461
44.521 14.45
44.526 14.446
44.53 14.448
44.531 14.44
44.543 14.436
44.547 14.439
44.545 14.442
44.535 14.457
44.536 14.459
44.542 14.457
44.551 14.44
44.569 14.421
44.566 14.416
44.567 14.412
44.572 14.409
44.574 14.403
44.571 14.399
44.566 14.401
44.563 14.399
44.563 14.393
44.555 14.388
44.555 14.385
44.56 14.383
44.561 14.374
44.564 14.368
44.568 14.365
44.571 14.365
44.578 14.371
44.588 14.367
44.598 14.376
44.602 14.383
44.605 14.386
44.626 14.378
44.63 14.374
44.633 14.367
44.646 14.354
44.647 14.349
44.65 14.347
44.655 14.349
44.675 14.337
44.695 14.335
44.7 14.338
44.707 14.336
44.714 14.342
44.704 14.35
44.701 14.355
44.703 14.361
44.699 14.364
44.699 14.368
44.701 14.374
44.699 14.379
44.69 14.388
44.688 14.395
44.68 14.397
44.671 14.393
44.666 14.393
44.661 14.399
44.659 14.399
44.653 14.399
44.648 14.393
44.644 14.398
44.637 14.396
44.635 14.393
44.63 14.391
44.621 14.394
44.618 14.4
44.611 14.405
44.598 14.407
44.588 14.414
44.59 14.417
44.579 14.422
44.575 14.431
44.572 14.429
44.569 14.43
44.565 14.437
44.559 14.441
44.558 14.449
44.552 14.452
44.548 14.46
44.544 14.46
44.539 14.466
44.537 14.472
44.535 14.474
44.535 14.479
44.532 14.478
44.529 14.481
44.529 14.485
44.525 14.489
44.523 14.503
44.518 14.507
44.512 14.52
44.508 14.519
44.497 14.532
44.495 14.539
44.485 14.532
44.475 14.519
segment Yugoslavia
44.606 14.273
44.608 14.266
44.608 14.263
44.619 14.245
44.619 14.236
44.628 14.228
44.631 14.228
44.634 14.235
44.639 14.242
44.649 14.236
44.654 14.237
44.667 14.245
44.675 14.257
44.687 14.262
44.687 14.266
44.69 14.273
44.683 14.275
44.681 14.279
44.68 14.28
44.675 14.277
44.67 14.28
44.667 14.28
44.665 14.276
44.658 14.272
44.659 14.268
44.667 14.258
44.66 14.255
44.657 14.248
44.644 14.259
44.642 14.256
44.647 14.248
44.634 14.255
44.619 14.271
44.609 14.277
44.607 14.275
44.606 14.273
segment Yugoslavia
44.664 14.583
44.668 14.576
44.673 14.57
44.675 14.573
44.666 14.584
44.664 14.583
segment Yugoslavia
44.573 14.315
44.576 14.312
44.582 14.3
44.59 14.292
44.591 14.295
44.586 14.302
44.583 14.312
44.574 14.319
44.573 14.315
segment Yugoslavia
44.543 14.426
44.546 14.425
44.551 14.427
44.555 14.423
44.557 14.427
44.552 14.43
44.547 14.43
44.543 14.426
segment Yugoslavia
44.502 14.3
44.505 14.29
44.514 14.281
44.521 14.28
44.523 14.287
44.519 14.292
44.518 14.298
44.515 14.302
44.511 14.305
44.51 14.313
44.502 14.3
segment Yugoslavia
44.495 14.555
44.496 14.549
44.507 14.539
44.509 14.541
44.504 14.55
44.505 14.556
44.5 14.558
44.495 14.555
segment Yugoslavia
44.466 14.869
44.476 14.848
44.48 14.845
44.485 14.844
44.487 14.847
44.486 14.856
44.482 14.863
44.469 14.872
44.466 14.869
segment Yugoslavia
44.442 14.573
44.445 14.566
44.445 14.552
44.443 14.549
44.445 14.534
44.448 14.53
44.453 14.529
44.458 14.531
44.461 14.534
44.462 14.541
44.457 14.552
44.456 14.562
44.443 14.574
44.442 14.573
segment Yugoslavia
44.342 14.798
44.354 14.773
44.361 14.765
44.362 14.758
44.368 14.747
44.376 14.768
44.379 14.771
44.384 14.771
44.398 14.765
44.403 14.767
44.411 14.76
44.416 14.761
44.413 14.764
44.413 14.765
44.413 14.77
44.417 14.773
44.419 14.776
44.417 14.79
44.411 14.801
44.407 14.802
44.403 14.808
44.398 14.81
44.389 14.805
44.384 14.795
44.37 14.803
44.37 14.808
44.362 14.818
44.35 14.819
44.345 14.816
44.345 14.806
44.342 14.798
segment Yugoslavia
44.347 14.725
44.348 14.71
44.355 14.703
44.356 14.697
44.36 14.693
44.369 14.691
44.374 14.686
44.384 14.679
44.387 14.676
44.389 14.666
44.393 14.662
44.399 14.66
44.409 14.666
44.408 14.689
44.398 14.703
44.386 14.699
44.381 14.702
44.376 14.701
44.372 14.703
44.366 14.72
44.363 14.721
44.356 14.719
44.347 14.726
44.347 14.725
segment Yugoslavia
44.373 14.866
44.376 14.855
44.385 14.852
44.382 14.86
44.373 14.866
segment Yugoslavia
44.306 14.663
44.306 14.656
44.31 14.651
44.31 14.648
44.317 14.635
44.317 14.63
44.323 14.624
44.322 14.62
44.327 14.618
44.34 14.59
44.346 14.584
44.35 14.584
44.356 14.592
44.342 14.604
44.339 14.614
44.331 14.627
44.331 14.631
44.329 14.638
44.327 14.642
44.324 14.64
44.317 14.654
44.307 14.664
44.306 14.663
segment Yugoslavia
44.255 14.763
44.26 14.752
44.269 14.738
44.27 14.738
44.274 14.735
44.281 14.737
44.28 14.74
44.282 14.744
44.28 14.755
44.281 14.756
44.291 14.751
44.292 14.752
44.286 14.772
44.282 14.78
44.272 14.788
44.273 14.795
44.271 14.799
44.266 14.794
44.266 14.79
44.262 14.783
44.269 14.765
44.267 14.764
44.26 14.766
44.255 14.763
segment Yugoslavia
44.272 14.713
44.275 14.701
44.281 14.696
44.283 14.689
44.287 14.687
44.291 14.689
44.291 14.694
44.288 14.697
44.29 14.703
44.289 14.709
44.282 14.721
44.275 14.724
44.274 14.721
44.277 14.714
44.272 14.713
segment Yugoslavia
44.199 14.83
44.204 14.823
44.221 14.816
44.228 14.809
44.256 14.79
44.259 14.791
44.26 14.798
44.264 14.802
44.261 14.806
44.246 14.822
44.235 14.848
44.232 14.862
44.227 14.866
44.221 14.878
44.221 14.883
44.227 14.887
44.224 14.892
44.224 14.898
44.218 14.898
44.215 14.9
44.213 14.908
44.211 14.91
44.21 14.901
44.208 14.9
44.205 14.903
44.203 14.901
44.202 14.893
44.2 14.893
44.199 14.893
44.198 14.891
44.204 14.877
44.202 14.874
44.204 14.869
44.207 14.867
44.21 14.87
44.213 14.868
44.212 14.865
44.215 14.858
44.213 14.856
44.217 14.843
44.223 14.839
44.226 14.829
44.233 14.819
44.232 14.817
44.231 14.816
44.226 14.819
44.225 14.822
44.209 14.829
44.205 14.832
44.204 14.839
44.201 14.841
44.199 14.83
segment Yugoslavia
44.145 14.944
44.15 14.935
44.149 14.931
44.153 14.919
44.159 14.916
44.161 14.906
44.167 14.893
44.171 14.89
44.175 14.891
44.171 14.899
44.164 14.92
44.152 14.943
44.148 14.946
44.145 14.944
segment Yugoslavia
43.892 15.428
43.896 15.419
43.903 15.408
43.909 15.392
43.914 15.387
43.916 15.383
43.914 15.38
43.912 15.382
43.909 15.382
43.915 15.373
43.912 15.373
43.91 15.37
43.913 15.364
43.916 15.361
43.919 15.357
43.929 15.353
43.932 15.347
43.936 15.345
43.94 15.336
43.944 15.333
43.95 15.322
43.954 15.31
43.959 15.303
43.975 15.295
43.986 15.278
44.001 15.262
44.005 15.263
44.009 15.261
44.009 15.258
44.008 15.255
44.012 15.249
44.023 15.261
44.021 15.266
44.017 15.267
44.017 15.272
44.015 15.278
44.015 15.285
44.009 15.289
44.006 15.294
44.002 15.304
43.98 15.347
43.97 15.355
43.969 15.359
43.972 15.37
43.972 15.372
43.971 15.372
43.965 15.378
43.962 15.385
43.949 15.386
43.938 15.393
43.924 15.42
43.91 15.444
43.903 15.453
43.899 15.455
43.892 15.452
43.892 15.448
43.896 15.439
43.895 15.433
43.892 15.428
segment Yugoslavia
43.955 15.403
43.958 15.398
43.961 15.396
43.964 15.397
43.957 15.409
43.955 15.408
43.955 15.403
segment Yugoslavia
43.922 15.228
43.928 15.209
43.947 15.193
43.949 15.194
43.948 15.2
43.936 15.217
43.922 15.228
segment Yugoslavia
43.918 15.313
43.919 15.308
43.923 15.304
43.934 15.284
43.939 15.28
43.941 15.284
43.934 15.294
43.931 15.305
43.921 15.316
43.918 15.313
segment Yugoslavia
43.922 15.274
43.927 15.257
43.929 15.255
43.929 15.26
43.927 15.265
43.926 15.273
43.923 15.276
43.922 15.274
segment Yugoslavia
43.887 15.294
43.887 15.288
43.885 15.284
43.878 15.294
43.877 15.314
43.88 15.316
43.886 15.317
43.88 15.326
43.877 15.328
43.871 15.323
43.867 15.33
43.857 15.338
43.848 15.35
43.84 15.353
43.824 15.37
43.821 15.37
43.822 15.367
43.822 15.366
43.829 15.361
43.835 15.352
43.842 15.335
43.85 15.324
43.855 15.309
43.861 15.303
43.87 15.29
43.879 15.272
43.881 15.261
43.888 15.253
43.895 15.263
43.895 15.268
43.893 15.272
43.891 15.274
43.893 15.281
43.888 15.293
43.887 15.294
segment Yugoslavia
43.885 15.4
43.892 15.393
43.895 15.393
43.887 15.409
43.885 15.4
segment Yugoslavia
