,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.000,0.975,0.842,0.708,0.602,0.522,0.459,0.410,0.369,0.336,0.308,0.285,0.265,0.247,0.232,0.218,0.206,0.195,0.185,0.176,0.168
1,NaN,1.000,0.987,0.906,0.806,0.716,0.641,0.579,0.526,0.483,0.445,0.413,0.385,0.360,0.339,0.320,0.302,0.287,0.273,0.260,0.249
2,NaN,NaN,1.000,0.992,0.932,0.853,0.777,0.710,0.651,0.600,0.556,0.518,0.484,0.454,0.428,0.405,0.383,0.364,0.347,0.331,0.317
3,NaN,NaN,NaN,1.000,0.994,0.947,0.882,0.816,0.755,0.701,0.652,0.610,0.572,0.538,0.508,0.481,0.456,0.434,0.414,0.396,0.379
4,NaN,NaN,NaN,NaN,1.000,0.995,0.957,0.901,0.843,0.788,0.738,0.692,0.651,0.614,0.581,0.551,0.524,0.499,0.476,0.456,0.437
5,NaN,NaN,NaN,NaN,NaN,1.000,0.996,0.963,0.915,0.863,0.813,0.766,0.723,0.684,0.649,0.616,0.587,0.560,0.535,0.512,0.491
6,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.996,0.968,0.925,0.878,0.833,0.789,0.749,0.711,0.677,0.646,0.617,0.590,0.566,0.543
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.997,0.972,0.933,0.891,0.848,0.808,0.770,0.734,0.701,0.671,0.643,0.616,0.592
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.997,0.975,0.940,0.901,0.861,0.823,0.787,0.754,0.722,0.692,0.665,0.639
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.997,0.977,0.945,0.909,0.872,0.837,0.802,0.770,0.740,0.711,0.685
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.998,0.979,0.950,0.916,0.882,0.848,0.816,0.785,0.756,0.728
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.998,0.981,0.953,0.922,0.890,0.858,0.827,0.797,0.769
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.998,0.982,0.957,0.927,0.897,0.867,0.837,0.809
13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.998,0.983,0.960,0.932,0.903,0.874,0.846
14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.998,0.984,0.962,0.936,0.908,0.881
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.998,0.985,0.964,0.939,0.913
16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.999,0.986,0.966,0.943
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.999,0.987,0.968
18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.999,0.988
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000,0.999
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.000
