        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  1.209E+01  6.061E+00  2.413E+01  6.437E+01  3.226E+01  1.284E+02
  1.030E+00  5.105E+00  1.208E+01  6.053E+00  2.410E+01  6.432E+01  3.223E+01  1.283E+02
  1.062E+00  5.111E+00  1.206E+01  6.043E+00  2.406E+01  6.426E+01  3.221E+01  1.282E+02
  1.094E+00  5.118E+00  1.204E+01  6.033E+00  2.402E+01  6.421E+01  3.218E+01  1.281E+02
  1.127E+00  5.126E+00  1.202E+01  6.023E+00  2.398E+01  6.415E+01  3.215E+01  1.280E+02
  1.162E+00  5.133E+00  1.200E+01  6.012E+00  2.393E+01  6.409E+01  3.212E+01  1.279E+02
  1.197E+00  5.141E+00  1.197E+01  6.001E+00  2.389E+01  6.402E+01  3.209E+01  1.277E+02
  1.233E+00  5.150E+00  1.195E+01  5.988E+00  2.384E+01  6.395E+01  3.205E+01  1.276E+02
  1.271E+00  5.159E+00  1.192E+01  5.975E+00  2.379E+01  6.388E+01  3.202E+01  1.275E+02
  1.309E+00  5.169E+00  1.190E+01  5.962E+00  2.373E+01  6.380E+01  3.198E+01  1.273E+02
  1.349E+00  5.179E+00  1.187E+01  5.948E+00  2.368E+01  6.372E+01  3.194E+01  1.271E+02
  1.390E+00  5.190E+00  1.184E+01  5.932E+00  2.362E+01  6.363E+01  3.189E+01  1.270E+02
  1.433E+00  5.201E+00  1.180E+01  5.916E+00  2.355E+01  6.354E+01  3.185E+01  1.268E+02
  1.476E+00  5.213E+00  1.177E+01  5.900E+00  2.349E+01  6.345E+01  3.180E+01  1.266E+02
  1.521E+00  5.226E+00  1.174E+01  5.882E+00  2.342E+01  6.334E+01  3.175E+01  1.264E+02
  1.567E+00  5.240E+00  1.170E+01  5.863E+00  2.334E+01  6.324E+01  3.169E+01  1.262E+02
  1.615E+00  5.254E+00  1.166E+01  5.843E+00  2.326E+01  6.312E+01  3.164E+01  1.259E+02
  1.664E+00  5.270E+00  1.162E+01  5.823E+00  2.318E+01  6.300E+01  3.158E+01  1.257E+02
  1.715E+00  5.286E+00  1.157E+01  5.801E+00  2.309E+01  6.288E+01  3.151E+01  1.255E+02
  1.767E+00  5.303E+00  1.153E+01  5.778E+00  2.300E+01  6.275E+01  3.145E+01  1.252E+02
  1.821E+00  5.321E+00  1.148E+01  5.754E+00  2.291E+01  6.261E+01  3.138E+01  1.249E+02
  1.876E+00  5.340E+00  1.143E+01  5.729E+00  2.281E+01  6.246E+01  3.131E+01  1.246E+02
  1.933E+00  5.361E+00  1.138E+01  5.702E+00  2.270E+01  6.231E+01  3.123E+01  1.243E+02
  1.992E+00  5.382E+00  1.132E+01  5.675E+00  2.259E+01  6.215E+01  3.115E+01  1.240E+02
  2.052E+00  5.405E+00  1.126E+01  5.646E+00  2.248E+01  6.198E+01  3.106E+01  1.237E+02
  2.115E+00  5.429E+00  1.120E+01  5.615E+00  2.235E+01  6.180E+01  3.097E+01  1.233E+02
  2.179E+00  5.454E+00  1.114E+01  5.583E+00  2.223E+01  6.161E+01  3.088E+01  1.229E+02
  2.245E+00  5.481E+00  1.107E+01  5.550E+00  2.209E+01  6.142E+01  3.078E+01  1.225E+02
  2.314E+00  5.509E+00  1.100E+01  5.515E+00  2.196E+01  6.121E+01  3.068E+01  1.221E+02
  2.384E+00  5.539E+00  1.093E+01  5.479E+00  2.181E+01  6.100E+01  3.057E+01  1.217E+02
  2.456E+00  5.571E+00  1.086E+01  5.441E+00  2.166E+01  6.077E+01  3.046E+01  1.213E+02
  2.531E+00  5.604E+00  1.078E+01  5.401E+00  2.150E+01  6.054E+01  3.034E+01  1.208E+02
  2.608E+00  5.639E+00  1.070E+01  5.360E+00  2.134E+01  6.029E+01  3.022E+01  1.203E+02
  2.687E+00  5.676E+00  1.061E+01  5.318E+00  2.117E+01  6.003E+01  3.009E+01  1.198E+02
  2.769E+00  5.716E+00  1.052E+01  5.273E+00  2.099E+01  5.977E+01  2.995E+01  1.192E+02
  2.853E+00  5.757E+00  1.043E+01  5.227E+00  2.081E+01  5.949E+01  2.981E+01  1.187E+02
  2.940E+00  5.800E+00  1.033E+01  5.179E+00  2.062E+01  5.920E+01  2.967E+01  1.181E+02
  3.030E+00  5.846E+00  1.024E+01  5.130E+00  2.042E+01  5.889E+01  2.952E+01  1.175E+02
  3.122E+00  5.894E+00  1.013E+01  5.078E+00  2.022E+01  5.858E+01  2.936E+01  1.169E+02
  3.217E+00  5.945E+00  1.003E+01  5.026E+00  2.001E+01  5.825E+01  2.920E+01  1.162E+02
  3.314E+00  5.999E+00  9.918E+00  4.971E+00  1.979E+01  5.792E+01  2.903E+01  1.156E+02
  3.415E+00  6.055E+00  9.806E+00  4.915E+00  1.957E+01  5.757E+01  2.885E+01  1.149E+02
  3.519E+00  6.114E+00  9.690E+00  4.857E+00  1.933E+01  5.720E+01  2.867E+01  1.141E+02
  3.626E+00  6.176E+00  9.571E+00  4.797E+00  1.910E+01  5.683E+01  2.848E+01  1.134E+02
  3.736E+00  6.242E+00  9.449E+00  4.736E+00  1.885E+01  5.644E+01  2.829E+01  1.126E+02
  3.850E+00  6.311E+00  9.323E+00  4.673E+00  1.860E+01  5.604E+01  2.809E+01  1.118E+02
  3.967E+00  6.383E+00  9.195E+00  4.608E+00  1.835E+01  5.563E+01  2.788E+01  1.110E+02
  4.088E+00  6.458E+00  9.063E+00  4.543E+00  1.808E+01  5.520E+01  2.767E+01  1.101E+02
  4.212E+00  6.538E+00  8.929E+00  4.475E+00  1.782E+01  5.476E+01  2.745E+01  1.093E+02
  4.340E+00  6.621E+00  8.792E+00  4.407E+00  1.754E+01  5.432E+01  2.722E+01  1.084E+02
  4.472E+00  6.708E+00  8.653E+00  4.337E+00  1.726E+01  5.385E+01  2.699E+01  1.075E+02
  4.608E+00  6.800E+00  8.511E+00  4.266E+00  1.698E+01  5.338E+01  2.675E+01  1.065E+02
  4.748E+00  6.895E+00  8.367E+00  4.193E+00  1.669E+01  5.290E+01  2.651E+01  1.055E+02
  4.893E+00  6.996E+00  8.221E+00  4.120E+00  1.640E+01  5.240E+01  2.626E+01  1.046E+02
  5.041E+00  7.100E+00  8.073E+00  4.046E+00  1.611E+01  5.190E+01  2.601E+01  1.036E+02
