        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  6.762E+02  3.389E+02  1.349E+03  1.849E+03  9.266E+02  3.689E+03  6.893E-01  3.455E-01  1.375E+00  1.885E+00  9.445E-01  3.760E+00
  1.030E+00  5.105E+00  6.753E+02  3.384E+02  1.347E+03  1.847E+03  9.258E+02  3.686E+03  6.884E-01  3.450E-01  1.373E+00  1.883E+00  9.437E-01  3.757E+00
  1.062E+00  5.111E+00  6.743E+02  3.380E+02  1.345E+03  1.845E+03  9.249E+02  3.682E+03  6.874E-01  3.445E-01  1.371E+00  1.881E+00  9.428E-01  3.754E+00
  1.094E+00  5.118E+00  6.733E+02  3.374E+02  1.343E+03  1.844E+03  9.240E+02  3.679E+03  6.863E-01  3.440E-01  1.369E+00  1.879E+00  9.419E-01  3.750E+00
  1.127E+00  5.126E+00  6.721E+02  3.369E+02  1.341E+03  1.842E+03  9.231E+02  3.675E+03  6.852E-01  3.434E-01  1.367E+00  1.878E+00  9.410E-01  3.746E+00
  1.162E+00  5.133E+00  6.710E+02  3.363E+02  1.339E+03  1.840E+03  9.221E+02  3.671E+03  6.840E-01  3.428E-01  1.365E+00  1.875E+00  9.400E-01  3.742E+00
  1.197E+00  5.141E+00  6.697E+02  3.357E+02  1.336E+03  1.838E+03  9.211E+02  3.667E+03  6.827E-01  3.422E-01  1.362E+00  1.873E+00  9.389E-01  3.738E+00
  1.233E+00  5.150E+00  6.684E+02  3.350E+02  1.334E+03  1.836E+03  9.199E+02  3.662E+03  6.814E-01  3.415E-01  1.360E+00  1.871E+00  9.378E-01  3.733E+00
  1.271E+00  5.159E+00  6.670E+02  3.343E+02  1.331E+03  1.833E+03  9.188E+02  3.658E+03  6.800E-01  3.408E-01  1.357E+00  1.869E+00  9.366E-01  3.729E+00
  1.309E+00  5.169E+00  6.656E+02  3.336E+02  1.328E+03  1.831E+03  9.175E+02  3.653E+03  6.785E-01  3.400E-01  1.354E+00  1.866E+00  9.353E-01  3.724E+00
  1.349E+00  5.179E+00  6.640E+02  3.328E+02  1.325E+03  1.828E+03  9.162E+02  3.648E+03  6.769E-01  3.393E-01  1.351E+00  1.864E+00  9.340E-01  3.718E+00
  1.390E+00  5.190E+00  6.624E+02  3.320E+02  1.322E+03  1.825E+03  9.148E+02  3.642E+03  6.753E-01  3.384E-01  1.347E+00  1.861E+00  9.326E-01  3.713E+00
  1.433E+00  5.201E+00  6.607E+02  3.311E+02  1.318E+03  1.822E+03  9.134E+02  3.636E+03  6.735E-01  3.376E-01  1.344E+00  1.858E+00  9.311E-01  3.707E+00
  1.476E+00  5.213E+00  6.589E+02  3.302E+02  1.315E+03  1.819E+03  9.118E+02  3.630E+03  6.717E-01  3.366E-01  1.340E+00  1.855E+00  9.295E-01  3.700E+00
  1.521E+00  5.226E+00  6.570E+02  3.293E+02  1.311E+03  1.816E+03  9.102E+02  3.624E+03  6.697E-01  3.357E-01  1.336E+00  1.851E+00  9.278E-01  3.694E+00
  1.567E+00  5.240E+00  6.550E+02  3.283E+02  1.307E+03  1.813E+03  9.085E+02  3.617E+03  6.677E-01  3.346E-01  1.332E+00  1.848E+00  9.261E-01  3.687E+00
  1.615E+00  5.254E+00  6.529E+02  3.272E+02  1.303E+03  1.809E+03  9.067E+02  3.610E+03  6.655E-01  3.336E-01  1.328E+00  1.844E+00  9.243E-01  3.680E+00
  1.664E+00  5.270E+00  6.507E+02  3.261E+02  1.298E+03  1.805E+03  9.048E+02  3.602E+03  6.633E-01  3.324E-01  1.323E+00  1.840E+00  9.223E-01  3.672E+00
  1.715E+00  5.286E+00  6.483E+02  3.249E+02  1.294E+03  1.801E+03  9.028E+02  3.594E+03  6.609E-01  3.312E-01  1.319E+00  1.836E+00  9.203E-01  3.664E+00
  1.767E+00  5.303E+00  6.459E+02  3.237E+02  1.289E+03  1.797E+03  9.007E+02  3.586E+03  6.584E-01  3.300E-01  1.314E+00  1.832E+00  9.181E-01  3.655E+00
  1.821E+00  5.321E+00  6.433E+02  3.224E+02  1.284E+03  1.793E+03  8.985E+02  3.577E+03  6.558E-01  3.287E-01  1.308E+00  1.827E+00  9.159E-01  3.646E+00
  1.876E+00  5.340E+00  6.406E+02  3.211E+02  1.278E+03  1.788E+03  8.961E+02  3.568E+03  6.530E-01  3.273E-01  1.303E+00  1.823E+00  9.135E-01  3.637E+00
  1.933E+00  5.361E+00  6.378E+02  3.196E+02  1.272E+03  1.783E+03  8.937E+02  3.558E+03  6.501E-01  3.258E-01  1.297E+00  1.818E+00  9.110E-01  3.627E+00
  1.992E+00  5.382E+00  6.348E+02  3.181E+02  1.267E+03  1.778E+03  8.911E+02  3.548E+03  6.471E-01  3.243E-01  1.291E+00  1.812E+00  9.084E-01  3.616E+00
  2.052E+00  5.405E+00  6.317E+02  3.166E+02  1.260E+03  1.773E+03  8.884E+02  3.537E+03  6.439E-01  3.227E-01  1.285E+00  1.807E+00  9.056E-01  3.605E+00
  2.115E+00  5.429E+00  6.284E+02  3.149E+02  1.254E+03  1.767E+03  8.856E+02  3.525E+03  6.406E-01  3.210E-01  1.278E+00  1.801E+00  9.027E-01  3.594E+00
  2.179E+00  5.454E+00  6.250E+02  3.132E+02  1.247E+03  1.761E+03  8.826E+02  3.514E+03  6.371E-01  3.193E-01  1.271E+00  1.795E+00  8.997E-01  3.582E+00
  2.245E+00  5.481E+00  6.214E+02  3.114E+02  1.240E+03  1.755E+03  8.795E+02  3.501E+03  6.334E-01  3.175E-01  1.264E+00  1.789E+00  8.965E-01  3.569E+00
  2.314E+00  5.509E+00  6.176E+02  3.096E+02  1.232E+03  1.748E+03  8.762E+02  3.488E+03  6.296E-01  3.156E-01  1.256E+00  1.782E+00  8.932E-01  3.556E+00
