        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  6.035E+01  3.025E+01  1.204E+02  3.717E+02  1.863E+02  7.416E+02  6.152E-02  3.083E-02  1.227E-01  3.789E-01  1.899E-01  7.559E-01
  1.030E+00  5.105E+00  6.027E+01  3.020E+01  1.202E+02  3.714E+02  1.862E+02  7.411E+02  6.143E-02  3.079E-02  1.226E-01  3.786E-01  1.898E-01  7.554E-01
  1.062E+00  5.111E+00  6.018E+01  3.016E+01  1.201E+02  3.712E+02  1.860E+02  7.406E+02  6.134E-02  3.074E-02  1.224E-01  3.784E-01  1.896E-01  7.549E-01
  1.094E+00  5.118E+00  6.008E+01  3.011E+01  1.199E+02  3.709E+02  1.859E+02  7.400E+02  6.125E-02  3.070E-02  1.222E-01  3.781E-01  1.895E-01  7.543E-01
  1.127E+00  5.126E+00  5.998E+01  3.006E+01  1.197E+02  3.706E+02  1.857E+02  7.394E+02  6.114E-02  3.064E-02  1.220E-01  3.778E-01  1.893E-01  7.537E-01
  1.162E+00  5.133E+00  5.988E+01  3.001E+01  1.195E+02  3.703E+02  1.856E+02  7.388E+02  6.104E-02  3.059E-02  1.218E-01  3.775E-01  1.892E-01  7.531E-01
  1.197E+00  5.141E+00  5.976E+01  2.995E+01  1.192E+02  3.700E+02  1.854E+02  7.382E+02  6.092E-02  3.053E-02  1.216E-01  3.771E-01  1.890E-01  7.524E-01
  1.233E+00  5.150E+00  5.965E+01  2.989E+01  1.190E+02  3.696E+02  1.852E+02  7.375E+02  6.080E-02  3.047E-02  1.213E-01  3.768E-01  1.888E-01  7.517E-01
  1.271E+00  5.159E+00  5.952E+01  2.983E+01  1.188E+02  3.692E+02  1.851E+02  7.367E+02  6.067E-02  3.041E-02  1.211E-01  3.764E-01  1.886E-01  7.510E-01
  1.309E+00  5.169E+00  5.939E+01  2.976E+01  1.185E+02  3.689E+02  1.849E+02  7.360E+02  6.054E-02  3.034E-02  1.208E-01  3.760E-01  1.884E-01  7.502E-01
  1.349E+00  5.179E+00  5.925E+01  2.970E+01  1.182E+02  3.684E+02  1.847E+02  7.351E+02  6.040E-02  3.027E-02  1.205E-01  3.756E-01  1.882E-01  7.494E-01
  1.390E+00  5.190E+00  5.910E+01  2.962E+01  1.179E+02  3.680E+02  1.844E+02  7.343E+02  6.025E-02  3.020E-02  1.202E-01  3.751E-01  1.880E-01  7.485E-01
  1.433E+00  5.201E+00  5.895E+01  2.954E+01  1.176E+02  3.676E+02  1.842E+02  7.334E+02  6.009E-02  3.012E-02  1.199E-01  3.747E-01  1.878E-01  7.476E-01
  1.476E+00  5.213E+00  5.879E+01  2.946E+01  1.173E+02  3.671E+02  1.840E+02  7.324E+02  5.992E-02  3.003E-02  1.196E-01  3.742E-01  1.875E-01  7.466E-01
  1.521E+00  5.226E+00  5.861E+01  2.938E+01  1.169E+02  3.666E+02  1.837E+02  7.314E+02  5.975E-02  2.995E-02  1.192E-01  3.737E-01  1.873E-01  7.456E-01
