        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  7.252E+00  3.635E+00  1.447E+01  1.014E+02  5.083E+01  2.024E+02  7.393E-03  3.705E-03  1.475E-02  1.034E-01  5.181E-02  2.063E-01
  1.030E+00  5.105E+00  7.242E+00  3.630E+00  1.445E+01  1.014E+02  5.080E+01  2.022E+02  7.382E-03  3.700E-03  1.473E-02  1.033E-01  5.179E-02  2.062E-01
  1.062E+00  5.111E+00  7.231E+00  3.624E+00  1.443E+01  1.013E+02  5.077E+01  2.021E+02  7.371E-03  3.695E-03  1.471E-02  1.033E-01  5.176E-02  2.060E-01
  1.094E+00  5.118E+00  7.220E+00  3.619E+00  1.441E+01  1.012E+02  5.074E+01  2.020E+02  7.360E-03  3.689E-03  1.468E-02  1.032E-01  5.172E-02  2.059E-01
  1.127E+00  5.126E+00  7.208E+00  3.613E+00  1.438E+01  1.012E+02  5.071E+01  2.019E+02  7.348E-03  3.683E-03  1.466E-02  1.031E-01  5.169E-02  2.058E-01
  1.162E+00  5.133E+00  7.195E+00  3.606E+00  1.436E+01  1.011E+02  5.067E+01  2.017E+02  7.335E-03  3.676E-03  1.463E-02  1.031E-01  5.166E-02  2.056E-01
  1.197E+00  5.141E+00  7.182E+00  3.600E+00  1.433E+01  1.010E+02  5.064E+01  2.016E+02  7.321E-03  3.669E-03  1.461E-02  1.030E-01  5.162E-02  2.055E-01
  1.233E+00  5.150E+00  7.168E+00  3.592E+00  1.430E+01  1.010E+02  5.060E+01  2.014E+02  7.307E-03  3.662E-03  1.458E-02  1.029E-01  5.158E-02  2.053E-01
  1.271E+00  5.159E+00  7.153E+00  3.585E+00  1.427E+01  1.009E+02  5.056E+01  2.013E+02  7.291E-03  3.654E-03  1.455E-02  1.028E-01  5.154E-02  2.052E-01
  1.309E+00  5.169E+00  7.137E+00  3.577E+00  1.424E+01  1.008E+02  5.052E+01  2.011E+02  7.275E-03  3.646E-03  1.452E-02  1.027E-01  5.149E-02  2.050E-01
  1.349E+00  5.179E+00  7.120E+00  3.569E+00  1.421E+01  1.007E+02  5.047E+01  2.009E+02  7.258E-03  3.638E-03  1.448E-02  1.027E-01  5.145E-02  2.048E-01
  1.390E+00  5.190E+00  7.103E+00  3.560E+00  1.417E+01  1.006E+02  5.042E+01  2.007E+02  7.240E-03  3.629E-03  1.445E-02  1.026E-01  5.140E-02  2.046E-01
  1.433E+00  5.201E+00  7.084E+00  3.551E+00  1.414E+01  1.005E+02  5.037E+01  2.005E+02  7.222E-03  3.619E-03  1.441E-02  1.025E-01  5.135E-02  2.044E-01
  1.476E+00  5.213E+00  7.065E+00  3.541E+00  1.410E+01  1.004E+02  5.032E+01  2.003E+02  7.202E-03  3.609E-03  1.437E-02  1.023E-01  5.129E-02  2.042E-01
