        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  6.497E+00  3.256E+00  1.296E+01  9.515E+01  4.769E+01  1.899E+02  6.623E-03  3.319E-03  1.322E-02  9.700E-02  4.861E-02  1.935E-01
  1.030E+00  5.105E+00  6.488E+00  3.251E+00  1.294E+01  9.510E+01  4.766E+01  1.897E+02  6.613E-03  3.314E-03  1.319E-02  9.694E-02  4.858E-02  1.934E-01
  1.062E+00  5.111E+00  6.477E+00  3.246E+00  1.292E+01  9.503E+01  4.763E+01  1.896E+02  6.603E-03  3.309E-03  1.317E-02  9.687E-02  4.855E-02  1.933E-01
  1.094E+00  5.118E+00  6.466E+00  3.241E+00  1.290E+01  9.497E+01  4.760E+01  1.895E+02  6.591E-03  3.303E-03  1.315E-02  9.681E-02  4.852E-02  1.932E-01
  1.127E+00  5.126E+00  6.454E+00  3.235E+00  1.288E+01  9.490E+01  4.756E+01  1.893E+02  6.579E-03  3.297E-03  1.313E-02  9.673E-02  4.848E-02  1.930E-01
  1.162E+00  5.133E+00  6.442E+00  3.229E+00  1.285E+01  9.482E+01  4.752E+01  1.892E+02  6.567E-03  3.291E-03  1.310E-02  9.666E-02  4.844E-02  1.929E-01
  1.197E+00  5.141E+00  6.429E+00  3.222E+00  1.283E+01  9.474E+01  4.748E+01  1.890E+02  6.554E-03  3.285E-03  1.308E-02  9.658E-02  4.840E-02  1.927E-01
  1.233E+00  5.150E+00  6.415E+00  3.215E+00  1.280E+01  9.466E+01  4.744E+01  1.889E+02  6.539E-03  3.278E-03  1.305E-02  9.650E-02  4.836E-02  1.925E-01
  1.271E+00  5.159E+00  6.401E+00  3.208E+00  1.277E+01  9.457E+01  4.740E+01  1.887E+02  6.525E-03  3.270E-03  1.302E-02  9.641E-02  4.832E-02  1.924E-01
  1.309E+00  5.169E+00  6.385E+00  3.200E+00  1.274E+01  9.448E+01  4.735E+01  1.885E+02  6.509E-03  3.262E-03  1.299E-02  9.631E-02  4.827E-02  1.922E-01
  1.349E+00  5.179E+00  6.369E+00  3.192E+00  1.271E+01  9.438E+01  4.730E+01  1.883E+02  6.493E-03  3.254E-03  1.295E-02  9.621E-02  4.822E-02  1.920E-01
  1.390E+00  5.190E+00  6.352E+00  3.184E+00  1.267E+01  9.428E+01  4.725E+01  1.881E+02  6.475E-03  3.245E-03  1.292E-02  9.611E-02  4.817E-02  1.918E-01
  1.433E+00  5.201E+00  6.334E+00  3.175E+00  1.264E+01  9.417E+01  4.720E+01  1.879E+02  6.457E-03  3.236E-03  1.288E-02  9.600E-02  4.811E-02  1.915E-01
  1.476E+00  5.213E+00  6.315E+00  3.165E+00  1.260E+01  9.406E+01  4.714E+01  1.877E+02  6.437E-03  3.226E-03  1.284E-02  9.588E-02  4.805E-02  1.913E-01
  1.521E+00  5.226E+00  6.295E+00  3.155E+00  1.256E+01  9.394E+01  4.708E+01  1.874E+02  6.417E-03  3.216E-03  1.280E-02  9.576E-02  4.799E-02  1.911E-01
  1.567E+00  5.240E+00  6.274E+00  3.145E+00  1.252E+01  9.381E+01  4.702E+01  1.872E+02  6.396E-03  3.205E-03  1.276E-02  9.563E-02  4.793E-02  1.908E-01
  1.615E+00  5.254E+00  6.252E+00  3.133E+00  1.247E+01  9.367E+01  4.695E+01  1.869E+02  6.373E-03  3.194E-03  1.272E-02  9.549E-02  4.786E-02  1.905E-01
  1.664E+00  5.270E+00  6.229E+00  3.122E+00  1.243E+01  9.353E+01  4.688E+01  1.866E+02  6.349E-03  3.182E-03  1.267E-02  9.534E-02  4.778E-02  1.902E-01
  1.715E+00  5.286E+00  6.204E+00  3.110E+00  1.238E+01  9.338E+01  4.680E+01  1.863E+02  6.324E-03  3.170E-03  1.262E-02  9.519E-02  4.771E-02  1.899E-01
  1.767E+00  5.303E+00  6.179E+00  3.097E+00  1.233E+01  9.322E+01  4.672E+01  1.860E+02  6.298E-03  3.157E-03  1.257E-02  9.503E-02  4.763E-02  1.896E-01
  1.821E+00  5.321E+00  6.152E+00  3.083E+00  1.227E+01  9.306E+01  4.664E+01  1.857E+02  6.271E-03  3.143E-03  1.251E-02  9.486E-02  4.754E-02  1.893E-01
  1.876E+00  5.340E+00  6.123E+00  3.069E+00  1.222E+01  9.288E+01  4.655E+01  1.853E+02  6.242E-03  3.128E-03  1.245E-02  9.468E-02  4.745E-02  1.889E-01
