        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  5.195E+00  7.210E+00  9.084E+00  4.553E+00  1.812E+01  6.010E+01  3.012E+01  1.199E+02
  5.353E+00  7.325E+00  8.921E+00  4.471E+00  1.780E+01  5.953E+01  2.984E+01  1.188E+02
  5.516E+00  7.445E+00  8.757E+00  4.389E+00  1.747E+01  5.895E+01  2.955E+01  1.176E+02
  5.683E+00  7.570E+00  8.592E+00  4.306E+00  1.714E+01  5.837E+01  2.925E+01  1.165E+02
  5.856E+00  7.700E+00  8.426E+00  4.223E+00  1.681E+01  5.777E+01  2.895E+01  1.153E+02
  6.034E+00  7.837E+00  8.258E+00  4.139E+00  1.648E+01  5.716E+01  2.865E+01  1.141E+02
  6.218E+00  7.979E+00  8.090E+00  4.055E+00  1.614E+01  5.654E+01  2.834E+01  1.128E+02
  6.407E+00  8.127E+00  7.921E+00  3.970E+00  1.581E+01  5.592E+01  2.803E+01  1.116E+02
  6.602E+00  8.281E+00  7.752E+00  3.885E+00  1.547E+01  5.529E+01  2.771E+01  1.103E+02
  6.802E+00  8.442E+00  7.584E+00  3.801E+00  1.513E+01  5.465E+01  2.739E+01  1.090E+02
  7.009E+00  8.610E+00  7.415E+00  3.716E+00  1.479E+01  5.401E+01  2.707E+01  1.078E+02
  7.222E+00  8.784E+00  7.247E+00  3.632E+00  1.446E+01  5.336E+01  2.674E+01  1.065E+02
  7.442E+00  8.966E+00  7.079E+00  3.548E+00  1.412E+01  5.271E+01  2.642E+01  1.052E+02
  7.668E+00  9.154E+00  6.912E+00  3.464E+00  1.379E+01  5.205E+01  2.609E+01  1.038E+02
  7.902E+00  9.351E+00  6.746E+00  3.381E+00  1.346E+01  5.139E+01  2.575E+01  1.025E+02
  8.142E+00  9.555E+00  6.581E+00  3.298E+00  1.313E+01  5.072E+01  2.542E+01  1.012E+02
  8.389E+00  9.766E+00  6.418E+00  3.217E+00  1.281E+01  5.005E+01  2.509E+01  9.987E+01
  8.645E+00  9.986E+00  6.256E+00  3.136E+00  1.248E+01  4.938E+01  2.475E+01  9.853E+01
  8.907E+00  1.021E+01  6.051E+00  3.033E+00  1.207E+01  4.817E+01  2.414E+01  9.612E+01
  9.178E+00  1.045E+01  5.846E+00  2.930E+00  1.166E+01  4.694E+01  2.353E+01  9.366E+01
  9.457E+00  1.070E+01  5.646E+00  2.830E+00  1.127E+01  4.572E+01  2.292E+01  9.123E+01
  9.745E+00  1.095E+01  5.450E+00  2.732E+00  1.087E+01  4.452E+01  2.231E+01  8.883E+01
  1.004E+01  1.122E+01  5.259E+00  2.636E+00  1.049E+01  4.333E+01  2.172E+01  8.646E+01
  1.035E+01  1.149E+01  5.072E+00  2.542E+00  1.012E+01  4.217E+01  2.113E+01  8.413E+01
  1.066E+01  1.178E+01  4.889E+00  2.450E+00  9.755E+00  4.102E+01  2.056E+01  8.184E+01
  1.099E+01  1.207E+01  4.712E+00  2.361E+00  9.401E+00  3.989E+01  1.999E+01  7.959E+01
  1.132E+01  1.237E+01  4.539E+00  2.275E+00  9.056E+00  3.878E+01  1.943E+01  7.737E+01
  1.166E+01  1.269E+01  4.370E+00  2.190E+00  8.720E+00  3.769E+01  1.889E+01  7.519E+01
  1.202E+01  1.302E+01  4.207E+00  2.108E+00  8.393E+00  3.662E+01  1.835E+01  7.306E+01
  1.238E+01  1.336E+01  4.048E+00  2.029E+00  8.076E+00  3.557E+01  1.783E+01  7.097E+01
  1.276E+01  1.371E+01  3.894E+00  1.951E+00  7.769E+00  3.454E+01  1.731E+01  6.892E+01
  1.315E+01  1.407E+01  3.744E+00  1.877E+00  7.471E+00  3.353E+01  1.681E+01  6.691E+01
  1.355E+01  1.444E+01  3.599E+00  1.804E+00  7.182E+00  3.255E+01  1.631E+01  6.495E+01
  1.396E+01  1.483E+01  3.459E+00  1.734E+00  6.902E+00  3.159E+01  1.583E+01  6.303E+01
  1.439E+01  1.523E+01  3.323E+00  1.666E+00  6.631E+00  3.065E+01  1.536E+01  6.115E+01
  1.482E+01  1.564E+01  3.192E+00  1.600E+00  6.369E+00  2.973E+01  1.490E+01  5.932E+01
  1.527E+01  1.607E+01  3.065E+00  1.536E+00  6.116E+00  2.883E+01  1.445E+01  5.753E+01
