        rjb        rcd      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50      y5.50  y/sig5.50  y*sig5.50      y7.50  y/sig7.50  y*sig7.50
  1.000E+00  5.099E+00  4.578E+02  2.295E+02  9.135E+02  1.400E+03  7.018E+02  2.794E+03  4.667E-01  2.339E-01  9.312E-01  1.427E+00  7.154E-01  2.848E+00
  1.030E+00  5.105E+00  4.572E+02  2.292E+02  9.123E+02  1.399E+03  7.013E+02  2.792E+03  4.661E-01  2.336E-01  9.300E-01  1.426E+00  7.148E-01  2.846E+00
  1.062E+00  5.111E+00  4.566E+02  2.288E+02  9.110E+02  1.398E+03  7.007E+02  2.790E+03  4.654E-01  2.333E-01  9.287E-01  1.425E+00  7.143E-01  2.844E+00
  1.094E+00  5.118E+00  4.559E+02  2.285E+02  9.097E+02  1.397E+03  7.001E+02  2.787E+03  4.648E-01  2.329E-01  9.273E-01  1.424E+00  7.137E-01  2.841E+00
  1.127E+00  5.126E+00  4.552E+02  2.282E+02  9.083E+02  1.396E+03  6.995E+02  2.785E+03  4.641E-01  2.326E-01  9.259E-01  1.423E+00  7.130E-01  2.839E+00
  1.162E+00  5.133E+00  4.545E+02  2.278E+02  9.068E+02  1.394E+03  6.988E+02  2.782E+03  4.633E-01  2.322E-01  9.244E-01  1.421E+00  7.123E-01  2.836E+00
  1.197E+00  5.141E+00  4.537E+02  2.274E+02  9.053E+02  1.393E+03  6.981E+02  2.779E+03  4.625E-01  2.318E-01  9.228E-01  1.420E+00  7.116E-01  2.833E+00
  1.233E+00  5.150E+00  4.529E+02  2.270E+02  9.036E+02  1.391E+03  6.974E+02  2.776E+03  4.616E-01  2.314E-01  9.211E-01  1.418E+00  7.109E-01  2.830E+00
  1.271E+00  5.159E+00  4.520E+02  2.265E+02  9.019E+02  1.390E+03  6.966E+02  2.773E+03  4.608E-01  2.309E-01  9.193E-01  1.417E+00  7.101E-01  2.827E+00
  1.309E+00  5.169E+00  4.511E+02  2.261E+02  9.000E+02  1.388E+03  6.958E+02  2.770E+03  4.598E-01  2.305E-01  9.174E-01  1.415E+00  7.092E-01  2.824E+00
  1.349E+00  5.179E+00  4.501E+02  2.256E+02  8.981E+02  1.386E+03  6.949E+02  2.766E+03  4.588E-01  2.300E-01  9.155E-01  1.413E+00  7.083E-01  2.820E+00
  1.390E+00  5.190E+00  4.491E+02  2.251E+02  8.960E+02  1.385E+03  6.940E+02  2.763E+03  4.578E-01  2.294E-01  9.134E-01  1.411E+00  7.074E-01  2.816E+00
  1.433E+00  5.201E+00  4.480E+02  2.245E+02  8.938E+02  1.383E+03  6.930E+02  2.759E+03  4.567E-01  2.289E-01  9.112E-01  1.409E+00  7.064E-01  2.812E+00
  1.476E+00  5.213E+00  4.468E+02  2.239E+02  8.916E+02  1.381E+03  6.920E+02  2.755E+03  4.555E-01  2.283E-01  9.088E-01  1.407E+00  7.054E-01  2.808E+00
  1.521E+00  5.226E+00  4.456E+02  2.233E+02  8.891E+02  1.378E+03  6.909E+02  2.750E+03  4.543E-01  2.277E-01  9.064E-01  1.405E+00  7.042E-01  2.804E+00
  1.567E+00  5.240E+00  4.444E+02  2.227E+02  8.866E+02  1.376E+03  6.897E+02  2.746E+03  4.530E-01  2.270E-01  9.038E-01  1.403E+00  7.031E-01  2.799E+00
  1.615E+00  5.254E+00  4.430E+02  2.220E+02  8.839E+02  1.374E+03  6.885E+02  2.741E+03  4.516E-01  2.263E-01  9.011E-01  1.400E+00  7.019E-01  2.794E+00
  1.664E+00  5.270E+00  4.416E+02  2.213E+02  8.811E+02  1.371E+03  6.872E+02  2.736E+03  4.502E-01  2.256E-01  8.982E-01  1.398E+00  7.006E-01  2.789E+00
  1.715E+00  5.286E+00  4.401E+02  2.206E+02  8.782E+02  1.369E+03  6.859E+02  2.731E+03  4.486E-01  2.249E-01  8.952E-01  1.395E+00  6.992E-01  2.784E+00
  1.767E+00  5.303E+00  4.386E+02  2.198E+02  8.750E+02  1.366E+03  6.845E+02  2.725E+03  4.471E-01  2.241E-01  8.920E-01  1.392E+00  6.977E-01  2.778E+00
  1.821E+00  5.321E+00  4.369E+02  2.190E+02  8.718E+02  1.363E+03  6.830E+02  2.719E+03  4.454E-01  2.232E-01  8.887E-01  1.389E+00  6.962E-01  2.772E+00
  1.876E+00  5.340E+00  4.352E+02  2.181E+02  8.683E+02  1.360E+03  6.814E+02  2.713E+03  4.436E-01  2.223E-01  8.852E-01  1.386E+00  6.946E-01  2.765E+00
  1.933E+00  5.361E+00  4.334E+02  2.172E+02  8.647E+02  1.356E+03  6.798E+02  2.706E+03  4.418E-01  2.214E-01  8.815E-01  1.383E+00  6.930E-01  2.759E+00
  1.992E+00  5.382E+00  4.315E+02  2.163E+02  8.610E+02  1.353E+03  6.781E+02  2.699E+03  4.399E-01  2.205E-01  8.776E-01  1.379E+00  6.912E-01  2.752E+00
  2.052E+00  5.405E+00  4.295E+02  2.153E+02  8.570E+02  1.349E+03  6.763E+02  2.692E+03  4.378E-01  2.194E-01  8.736E-01  1.375E+00  6.894E-01  2.744E+00
  2.115E+00  5.429E+00  4.274E+02  2.142E+02  8.528E+02  1.345E+03  6.743E+02  2.685E+03  4.357E-01  2.184E-01  8.694E-01  1.372E+00  6.874E-01  2.737E+00
  2.179E+00  5.454E+00  4.253E+02  2.131E+02  8.485E+02  1.342E+03  6.723E+02  2.677E+03  4.335E-01  2.173E-01  8.649E-01  1.367E+00  6.854E-01  2.729E+00
  2.245E+00  5.481E+00  4.230E+02  2.120E+02  8.439E+02  1.337E+03  6.703E+02  2.668E+03  4.312E-01  2.161E-01  8.603E-01  1.363E+00  6.832E-01  2.720E+00
  2.314E+00  5.509E+00  4.206E+02  2.108E+02  8.392E+02  1.333E+03  6.681E+02  2.660E+03  4.287E-01  2.149E-01  8.554E-01  1.359E+00  6.810E-01  2.711E+00
