EARTHQUAKE RATE UNCERTAINTY BRANCHES 
RData file,rate-unc-GNMI-Crustal-v2-1916.RData
Calculation start and end,Fri Feb 27 15:27:25 2026,Fri Feb 27 15:34:35 2026
Region name,GNMI-Crustal
Version,v2-1916
Catalog type,Prob
b mean,1.19
b sigma,0.02
max n sigma b,3
delta,
M1,5
Mmax,
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
default M sigma,0.2
max n sigma M,3
nsamples,1e+05
Magnitude corrections are recomputed 
catalog,gnmi-nshm-crustal-probT.RData from gnmi_nshm_separated-DefaultBuffer.csv with outputprob= TRUE class= crustal-or
n epochs,5
t start,t end,Mc
1916,1964,6.2
1964,1973,6
1973,1994.5,5.3
1994.5,2010,5.1
2010,2025,5.8
type of rate model,average
epoch weights,0.440367,0.08256881,0.1972477,0.1422018,0.1376147
BRANCHES
Note: all rates are cumulative
Note: calculations assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,4.66,1.19
0.025,2.5,1.23
0.16,3.28,1.21
0.5,4.36,1.19
0.84,5.89,1.17
0.975,8.84,1.15
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,4.66,1.19
0.025,2.5,1.19
0.16,3.28,1.19
0.5,4.36,1.19
0.84,5.89,1.19
0.975,8.84,1.19
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,4450.4,2195.2,2977.5,4117.7,5793.3,8785.6
2.6,3381.3,1675.9,2268.9,3130.6,4394,6662.2
2.7,2569.1,1279.5,1728.3,2379.9,3332,5052.7
2.8,1952,977.04,1316.8,1809.6,2527.2,3831.3
2.9,1483.1,745.47,1003.4,1375.6,1917.4,2903.9
3,1126.9,569.22,764.6,1045.6,1455,2200.8
3.1,856.29,434.6,582.55,794.67,1103.8,1668
3.2,650.67,331.53,443.76,604.03,837.69,1265.1
3.3,494.43,252.9,338.11,459.16,635.75,959.69
3.4,375.71,193.08,257.54,349.07,482.39,728.13
3.5,285.51,147.22,196.18,265.43,366.08,552.47
3.6,216.96,112.29,149.46,201.86,277.9,419.31
3.7,164.88,85.591,113.8,153.49,210.93,318.05
3.8,125.3,65.271,86.684,116.67,160.09,241.31
3.9,95.225,49.752,66.002,88.715,121.49,183.12
4,72.37,37.921,50.27,67.449,92.283,138.91
4.1,55.002,28.903,38.264,51.283,70.054,105.44
4.2,41.802,22.036,29.132,38.994,53.211,80.041
4.3,31.771,16.799,22.173,29.654,40.404,60.744
4.4,24.148,12.795,16.882,22.547,30.681,46.102
4.5,18.354,9.7542,12.848,17.147,23.301,35.019
4.6,13.951,7.4322,9.7793,13.035,17.691,26.578
4.7,10.604,5.6551,7.4442,9.9106,13.435,20.167
4.8,8.0601,4.3099,5.665,7.5351,10.206,15.32
4.9,6.1267,3.2816,4.3101,5.73,7.7517,11.642
5,4.6572,2.4991,3.2799,4.3558,5.8915,8.8426
5.1,3.5402,1.902,2.495,3.3116,4.4779,6.7232
5.2,2.6912,1.4473,1.8974,2.5183,3.4024,5.1085
5.3,2.0458,1.1016,1.4436,1.9147,2.5847,3.887
5.4,1.5553,0.83795,1.0981,1.4559,1.9639,2.9545
5.5,1.1823,0.63756,0.83518,1.1069,1.4919,2.2445
5.6,0.89887,0.48457,0.63523,0.84193,1.1338,1.705
5.7,0.68337,0.36871,0.48324,0.64016,0.86174,1.2947
5.8,0.51955,0.28039,0.36755,0.48658,0.65502,0.98512
5.9,0.39501,0.21314,0.27947,0.36992,0.49803,0.74907
6,0.30032,0.16195,0.21253,0.28129,0.37862,0.56933
6.1,0.22834,0.1231,0.16161,0.21386,0.28797,0.43298
6.2,0.17362,0.093587,0.12287,0.16262,0.21897,0.32914
6.3,0.13201,0.071108,0.09337,0.12365,0.16654,0.2503
6.4,0.10038,0.054027,0.070983,0.094012,0.12664,0.19045
6.5,0.076324,0.041077,0.053956,0.071484,0.096295,0.14478
6.6,0.058037,0.031213,0.041008,0.054354,0.073238,0.11013
6.7,0.044132,0.023698,0.031166,0.041333,0.055729,0.083765
