s	name
0	Inversion Src #0; 2 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 0 AND Anacapa-Dume, alt 1, Subsection 1
1	Inversion Src #1; 3 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 0 AND Anacapa-Dume, alt 1, Subsection 2
2	Inversion Src #2; 4 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 0 AND Anacapa-Dume, alt 1, Subsection 3
3	Inversion Src #3; 5 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 0 AND Anacapa-Dume, alt 1, Subsection 4
4	Inversion Src #211; 2 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 1 AND Anacapa-Dume, alt 1, Subsection 2
5	Inversion Src #212; 3 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 1 AND Anacapa-Dume, alt 1, Subsection 3
6	Inversion Src #213; 4 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 1 AND Anacapa-Dume, alt 1, Subsection 4
7	Inversion Src #340; 2 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 2 AND Anacapa-Dume, alt 1, Subsection 3
8	Inversion Src #341; 3 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 2 AND Anacapa-Dume, alt 1, Subsection 4
9	Inversion Src #465; 2 SECTIONS BETWEEN Anacapa-Dume, alt 1, Subsection 3 AND Anacapa-Dume, alt 1, Subsection 4
10	Inversion Src #637; 2 SECTIONS BETWEEN Channel Islands Thrust, Subsection 0 AND Channel Islands Thrust, Subsection 1
11	Inversion Src #638; 3 SECTIONS BETWEEN Channel Islands Thrust, Subsection 0 AND Channel Islands Thrust, Subsection 2
12	Inversion Src #639; 4 SECTIONS BETWEEN Channel Islands Thrust, Subsection 0 AND Channel Islands Thrust, Subsection 3
13	Inversion Src #640; 5 SECTIONS BETWEEN Channel Islands Thrust, Subsection 0 AND Channel Islands Thrust, Subsection 4
14	Inversion Src #641; 6 SECTIONS BETWEEN Channel Islands Thrust, Subsection 0 AND Channel Islands Thrust, Subsection 5
15	Inversion Src #764; 2 SECTIONS BETWEEN Channel Islands Thrust, Subsection 1 AND Channel Islands Thrust, Subsection 2
16	Inversion Src #765; 3 SECTIONS BETWEEN Channel Islands Thrust, Subsection 1 AND Channel Islands Thrust, Subsection 3
17	Inversion Src #766; 4 SECTIONS BETWEEN Channel Islands Thrust, Subsection 1 AND Channel Islands Thrust, Subsection 4
18	Inversion Src #767; 5 SECTIONS BETWEEN Channel Islands Thrust, Subsection 1 AND Channel Islands Thrust, Subsection 5
19	Inversion Src #863; 2 SECTIONS BETWEEN Channel Islands Thrust, Subsection 2 AND Channel Islands Thrust, Subsection 3
20	Inversion Src #864; 3 SECTIONS BETWEEN Channel Islands Thrust, Subsection 2 AND Channel Islands Thrust, Subsection 4
21	Inversion Src #865; 4 SECTIONS BETWEEN Channel Islands Thrust, Subsection 2 AND Channel Islands Thrust, Subsection 5
22	Inversion Src #961; 2 SECTIONS BETWEEN Channel Islands Thrust, Subsection 3 AND Channel Islands Thrust, Subsection 4
23	Inversion Src #962; 3 SECTIONS BETWEEN Channel Islands Thrust, Subsection 3 AND Channel Islands Thrust, Subsection 5
