Region,"Preferred Rate","Preferred b","Lower Rate","Lower b","Upper Rate","Upper b"
CONUS_WEST,11.4,0.82,10.2,0.9,12.7,0.74
CONUS_EAST,0.44,0.94,0.259,1.1,0.734,0.78
