Region,"Preferred Rate","Preferred b","Lower Rate","Lower b","Upper Rate","Upper b"
CONUS_WEST,12,0.81,10.6,0.91,13.5,0.71
CONUS_EAST,0.452,0.94,0.265,1.1,0.752,0.78
