Region,"Preferred Rate","Preferred b","Lower Rate","Lower b","Upper Rate","Upper b"
CAR_INTERFACE,1.4,1.3,1.12,1.4,1.72,1.2
CAR_INTRASLAB,2.07,1.3,1.46,1.4,3.18,1.2
CRUSTAL,1.48,0.97,0.546,1.21,3.1,0.73
MUE_INTERFACE,0.0869,1.3,0.046,1.4,0.149,1.2
MUE_INTRASLAB,0.322,1.3,0.222,1.4,0.456,1.2
