Region,"Preferred Rate","Preferred b","Lower Rate","Lower b","Upper Rate","Upper b"
CAR_INTERFACE,1.99,0.97,0.826,1.02,4.04,0.924
CAR_INTRASLAB,0.828,0.97,0.210,0.998,1.9,0.924
CRUSTAL,1.47,0.97,0.543,0.99,3.09,0.946
MUE_INTERFACE,0.219,0.97,0.019,0.989,0.735,0.943
MUE_INTRASLAB,0.522,0.97,0.122,1.0,1.4,0.939
