Region,"Preferred Rate","Preferred b","Lower Rate","Lower b","Upper Rate","Upper b"
CAR_INTERFACE,1.99,0.97,0.83,1.21,4.02,0.73
CAR_INTRASLAB,0.828,0.97,0.21,1.21,1.9,0.73
CRUSTAL,1.47,0.97,0.536,1.21,3.08,0.73
MUE_INTERFACE,0.219,0.97,0.019,1.21,0.735,0.73
MUE_INTRASLAB,0.522,0.97,0.122,1.21,1.4,0.73
