#FaultName, Index, RELM Region,North Region,San Francisco Region,Central Coast Region,Los Angeles Region,Mojave Region,Mid Region,Northeast Region,Rest of state
Mount Diablo Thrust,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Monte Vista-Shannon,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ortigalita,2,1.0,0.0,0.0,0.15492958,0.0,0.0,0.0,0.0,0.8450704
Rinconada,3,1.0,0.0,0.114583336,0.8854167,0.0,0.0,0.0,0.0,0.0
Monterey Bay-Tularcitos,4,1.0,0.0,0.60714287,0.3809524,0.0,0.0,0.0,0.0,0.011904762
Honey Lake,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Table Bluff,6,1.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.22
Big Lagoon-Bald Mtn,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fickle Hill,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McKinleyville,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mad River,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collayomi,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartlett Springs,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hosgri,14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
San Juan,15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gillem-Big Crack,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cedar Mtn-Mahogany Mtn,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Likely,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Surprise Valley,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hat Creek-McArthur-Mayfield,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robinson Creek,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mono Lake,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hartley Springs,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hilton Creek,24,1.0,0.0,0.0,0.0,0.0,0.0,0.56666666,0.0,0.43333334
Round Valley,25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fish Slough,26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
White Mountains,27,1.0,0.0,0.0,0.0,0.0,0.0,0.77678573,0.0,0.22321428
Owl Lake,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Deep Springs,29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Point Reyes,30,1.0,0.0,0.14583333,0.0,0.0,0.0,0.0,0.0,0.8541667
Zayante-Vergeles,31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Quien Sabe,32,1.0,0.0,0.8333333,0.0,0.0,0.0,0.0,0.0,0.16666667
San Andreas (Creeping Segment),33,1.0,0.0,0.17073171,0.80487806,0.0,0.0,0.0,0.0,0.024390243
Pleito,34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
So Sierra Nevada,35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Owens Valley,36,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Independence,37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Birch Creek,38,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
West Napa,39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunting Creek-Berryessa,40,1.0,0.4918033,0.4918033,0.0,0.0,0.0,0.0,0.0,0.016393442
Battle Creek,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Osos,42,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
San Luis Range (So Margin),43,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lions Head,44,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mission Ridge-Arroyo Parida-Santa Ana,45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
San Cayetano,46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cleghorn,47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
North Frontal  (West),48,1.0,0.0,0.0,0.0,0.5882353,0.4117647,0.0,0.0,0.0
North Frontal  (East),49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Helendale-So Lockhart,50,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lenwood-Lockhart-Old Woman Springs,51,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gravel Hills-Harper Lk,52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Blackwater,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Calico-Hidalgo,54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pisgah-Bullion Mtn-Mesquite Lk,55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
So Emerson-Copper Mtn,56,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Johnson Valley (No),57,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Landers,58,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pinto Mtn,59,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Burnt Mtn,60,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Eureka Peak,61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Elmore Ranch,62,1.0,0.0,0.0,0.0,0.0,0.8333333,0.0,0.0,0.16666667
Imperial,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Superstition Hills,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Laguna Salada,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
San Jose,66,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hollywood,67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Santa Rosa Island,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Santa Cruz Island,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Verdugo,70,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Simi-Santa Rosa,71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oak Ridge (Onshore),72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ventura-Pitas Point,73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Red Mountain,74,1.0,0.0,0.0,0.009803922,0.60784316,0.0,0.0,0.0,0.38235295
Clamshell-Sawpit,75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cucamonga,76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Channel Islands Thrust,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Northridge,78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Great Valley 1,79,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Valley 3, Mysterious Ridge,80,1.0,0.84615386,0.13461539,0.0,0.0,0.0,0.0,0.0,0.01923077
Great Valley 2,81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Valley 4a, Trout Creek,82,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Valley 5, Pittsburg Kirby Hills,83,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Great Valley 7,84,1.0,0.0,0.36956522,0.0,0.0,0.0,0.0,0.0,0.6304348
Great Valley 8,85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Great Valley 10,86,1.0,0.0,0.0,0.5217391,0.0,0.0,0.0,0.0,0.47826087
Great Valley 11,87,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2
Great Valley 12,88,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Great Valley 14 (Kettleman Hills),89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Great Valley 13 (Coalinga),90,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
San Joaquin Hills,91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Little Lake,92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tank Canyon,93,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Elysian Park (Upper),94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Maacama-Garberville,95,1.0,0.9279279,0.06306306,0.0,0.0,0.0,0.0,0.0,0.009009009
Great Valley 9,96,1.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.975
Raymond,97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Casmalia (Orcutt Frontal),98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Los Alamos-West Baseline,99,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pitas Point (Lower, West),100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pitas Point (Lower)-Montalvo,101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Malibu Coast, alt 1,102,1.0,0.0,0.0,0.0,0.974359,0.0,0.0,0.0,0.025641026
