42.18,-118.73086,37.54858,-118.74232,37.560276,0.6,-90.0
44.01,-118.16626,37.022095,-118.16659,37.039764,0.6,180.0
44.02,-118.16659,37.039764,-118.18756,37.06858,0.6,180.0
44.03,-118.18756,37.06858,-118.22367,37.171883,0.6,180.0
44.04,-118.22367,37.171883,-118.25827,37.24149,0.6,180.0
44.05,-118.25827,37.24149,-118.27922,37.30249,0.6,180.0
44.06,-118.27922,37.30249,-118.293015,37.33345,0.6,180.0
44.07,-118.293015,37.33345,-118.305145,37.37849,0.6,180.0
44.08,-118.305145,37.37849,-118.31811,37.43014,0.6,180.0
44.09,-118.31811,37.43014,-118.33015,37.484745,0.6,180.0
44.10,-118.33015,37.484745,-118.3357,37.527542,0.6,180.0
44.11,-118.3357,37.527542,-118.34866,37.575504,0.6,180.0
44.12,-118.34866,37.575504,-118.36718,37.66848,0.6,180.0
44.13,-118.36718,37.66848,-118.37551,37.735626,0.6,180.0
44.14,-118.37551,37.735626,-118.41131,37.78391,0.6,180.0
44.15,-118.41131,37.78391,-118.429054,37.831493,0.6,180.0
44.16,-118.429054,37.831493,-118.413475,37.869923,0.6,180.0
44.17,-118.413475,37.869923,-118.3857,37.900913,0.6,180.0
44.18,-118.3857,37.900913,-118.34589,37.942974,0.6,180.0
44.19,-118.34589,37.942974,-118.337555,37.96437,0.6,180.0
45.01,-117.66754,37.301937,-117.69734,37.32084,3.0,-150.0
45.02,-117.69734,37.32084,-117.76252,37.347458,3.0,-150.0
45.03,-117.76252,37.347458,-117.80731,37.367435,3.0,-150.0
45.04,-117.80731,37.367435,-117.96381,37.52333,3.0,-150.0
45.05,-117.96381,37.52333,-118.03401,37.589016,3.0,-150.0
45.06,-118.03401,37.589016,-118.05708,37.60012,3.0,-150.0
45.07,-118.05708,37.60012,-118.07466,37.61347,3.0,-150.0
45.08,-118.07466,37.61347,-118.09322,37.661434,3.0,-150.0
45.09,-118.09322,37.661434,-118.12399,37.71606,3.0,-150.0
45.10,-118.12399,37.71606,-118.15497,37.75171,3.0,-150.0
45.11,-118.15497,37.75171,-118.19231,37.82865,3.0,-150.0
46.01,-116.88108,36.53986,-117.08961,36.69773,4.5,180.0
46.02,-117.08961,36.69773,-117.16017,36.75781,4.5,180.0
46.03,-117.16017,36.75781,-117.2979,36.92502,4.5,180.0
46.04,-117.2979,36.92502,-117.32351,36.9574,4.5,180.0
46.05,-117.32351,36.9574,-117.39842,37.03182,4.5,180.0
46.06,-117.39842,37.03182,-117.50039,37.12219,4.5,180.0
46.07,-117.50039,37.12219,-117.53905,37.17632,4.5,180.0
46.08,-117.53905,37.17632,-117.653,37.2941,4.5,180.0
47.01,-116.87723,35.60639,-116.64142,35.72774,2.0,0.0
48.01,-116.878944,35.598328,-116.81796,35.59671,3.0,0.0
48.02,-116.81796,35.59671,-116.59081,35.59358,3.0,0.0
48.03,-116.59081,35.59358,-116.46697,35.586403,3.0,0.0
48.04,-116.46697,35.586403,-116.37972,35.5904,3.0,0.0
49.01,-118.918335,34.823616,-118.87123,34.82844,6.0,0.0
49.02,-118.87123,34.82844,-118.82281,34.849236,6.0,0.0
49.03,-118.82281,34.849236,-118.770805,34.88225,6.0,0.0
49.04,-118.770805,34.88225,-118.66699,34.931374,6.0,0.0
49.05,-118.66699,34.931374,-118.474655,34.99577,6.0,0.0
49.06,-118.474655,34.99577,-118.3754,35.0477,6.0,0.0
49.07,-118.3754,35.0477,-118.332596,35.078808,7.6,0.0
49.08,-118.332596,35.078808,-118.119125,35.186466,7.6,0.0
49.09,-118.119125,35.186466,-118.06134,35.22325,7.6,0.0
49.10,-118.06134,35.22325,-118.010315,35.271294,7.6,0.0
50.01,-117.3955,36.4467,-117.43249,36.475266,3.0,-150.0
50.02,-117.43249,36.475266,-117.54011,36.523262,3.0,-150.0
50.03,-117.54011,36.523262,-117.62083,36.56991,3.0,-150.0
50.04,-117.62083,36.56991,-117.68136,36.617233,3.0,-150.0
50.05,-117.68136,36.617233,-117.82178,36.6605,3.0,-150.0
50.06,-117.82178,36.6605,-117.84952,36.705116,3.0,-150.0
50.07,-117.84952,36.705116,-117.87559,36.754467,3.0,-150.0
50.08,-117.87559,36.754467,-117.952095,36.924156,3.0,-150.0
51.01,-117.94248,37.434853,-117.95624,37.396843,1.2,-90.0
51.02,-117.95624,37.396843,-117.958984,37.381966,1.2,-90.0
51.03,-117.958984,37.381966,-117.97384,37.36665,1.2,-90.0
51.04,-117.97384,37.36665,-117.987045,37.34915,1.2,-90.0
51.05,-117.987045,37.34915,-117.99695,37.320705,1.2,-90.0
51.06,-117.99695,37.320705,-118.01456,37.28657,1.2,-90.0
51.07,-118.01456,37.28657,-118.032715,37.255066,1.2,-90.0
51.08,-118.032715,37.255066,-118.05967,37.230564,1.2,-90.0
53.01,-121.46381,36.79268,-121.60956,36.81287,0.1,150.0
53.02,-121.60956,36.81287,-121.74194,36.93775,0.1,150.0
53.03,-121.74194,36.93775,-121.9734,37.08872,0.1,150.0
58.01,-119.2959,34.94152,-119.23706,34.956226,2.0,90.0
58.02,-119.23706,34.956226,-119.20621,34.955635,2.0,90.0
58.03,-119.20621,34.955635,-119.12816,34.98694,2.0,90.0
58.04,-119.12816,34.98694,-119.08091,35.007084,2.0,90.0
58.05,-119.08091,35.007084,-119.05054,35.007477,2.0,90.0
58.06,-119.05054,35.007477,-119.03607,34.991676,2.0,90.0
