lat, long, log10(Mo_nk), log10(Mo_zeng), log10(Mo_abm)
31.6,-117.2,-1000,14.649,15.117
31.6,-117.1,-1000,14.789,15.119
31.6,-117,-1000,14.862,15.027
31.6,-116.9,-1000,14.897,14.657
31.6,-116.8,-1000,14.915,14.639
31.6,-116.7,-1000,14.929,14.826
31.6,-116.6,-1000,14.944,15.322
31.6,-116.5,-1000,14.959,15.564
31.6,-116.4,-1000,14.975,15.399
31.6,-116.3,-1000,14.992,15.417
31.6,-116.2,-1000,15.007,15.42
31.6,-116.1,-1000,15.015,15.363
31.6,-116,-1000,14.996,15.345
31.6,-115.9,-1000,14.953,15.294
31.6,-115.8,-1000,14.917,15.307
31.7,-117.5,-1000,14.897,14.762
31.7,-117.4,-1000,14.895,14.927
31.7,-117.3,-1000,14.651,15.131
31.7,-117.2,-1000,14.781,15.228
31.7,-117.1,-1000,14.862,15.219
31.7,-117,-1000,14.904,15.032
31.7,-116.9,-1000,14.923,14.855
31.7,-116.8,-1000,14.933,14.684
31.7,-116.7,-1000,14.944,15.221
31.7,-116.6,-1000,14.955,15.564
31.7,-116.5,-1000,14.966,15.564
31.7,-116.4,-1000,14.979,15.403
31.7,-116.3,-1000,14.991,15.39
31.7,-116.2,-1000,15.004,15.332
31.7,-116.1,-1000,15.016,15.336
31.7,-116,-1000,15.027,15.325
31.7,-115.9,-1000,15.021,15.31
31.7,-115.8,-1000,15.008,15.337
31.7,-115.7,-1000,15,15.334
31.7,-115.6,-1000,15.016,15.295
31.7,-115.5,-1000,15.058,15.267
31.7,-115.4,-1000,15.105,15.24
31.7,-115.3,-1000,15.148,15.178
31.7,-115.2,-1000,15.184,15.055
31.7,-115.1,-1000,15.215,14.982
31.7,-115,-1000,15.247,15.316
31.7,-114.9,-1000,15.279,15.61
31.7,-114.8,-1000,15.299,15.918
31.7,-114.7,-1000,15.289,16.301
31.7,-114.6,-1000,15.241,16.324
31.8,-117.7,14.211,14.922,14.761
31.8,-117.6,14.138,14.897,14.867
31.8,-117.5,13.779,14.895,14.927
31.8,-117.4,-1000,14.893,15.071
31.8,-117.3,-1000,14.902,15.272
31.8,-117.2,-1000,14.911,15.322
31.8,-117.1,-1000,14.918,15.324
31.8,-117,-1000,14.919,15.03
31.8,-116.9,-1000,14.929,14.874
31.8,-116.8,-1000,14.937,15.194
31.8,-116.7,-1000,14.946,15.459
31.8,-116.6,-1000,14.954,15.541
31.8,-116.5,-1000,14.964,15.535
31.8,-116.4,-1000,14.973,15.4
