"Table 5",,,,,,,,,,,,,,,,,,,,,,,
"Repeated Slip for a Subsection from Cumulative Offset Probability Distributions for Offset Features",,,,,,,,,,,,,,,,,,,,,,,
Fault,Lat,Lon,"Event Slip and Uncertainty (m)",,,,,,,,,,,,,,,,,,,,
,,,"1 (MRE)",+,-,(PEN),+,-,3,+,-,4,+,-,5,+,-,6,+,-,"Weighted mean",+,-
,,,,,,,,,,,,,,,,,,,,,,,
"San Andreas (Carrizo) rev",35.2405117644071,-119.789421370089,4.5,0.2,0.5,1.3,0.7,0.4,3.8,0.7,0.7,,,,,,,,,,3.5151515151515147,0.35176323534072423,0.35176323534072423
,,,5.1,1,0.8,4.4,0.7,0.7,,,,,,,,,,,,,4.630201342281879,0.5734623443633283,0.5734623443633283
"San Andreas (Carrizo) rev",35.0509048808288,-119.56275718464,6.2,0.8,0.5,3.1,0.5,0.8,2.2,1,0.5,,,,,,,,,,4.056060606060605,0.49236596391733095,0.49236596391733095
"San Andreas (Carrizo) rev",35.00812074134,-119.500756704772,5.4,0.8,0.5,4.9,0.6,1.8,2.7,1.2,0.7,,,,,,,,,,4.609022556390977,0.6243191780573665,0.6243191780573665
"San Andreas (Cholame) rev",35.6499984543527,-120.200383384786,3.9,0.4,0.7,1.5,0.6,0.4,,,,,,,,,,,,,2.5,0.5,0.5
,,,2,0.2,0.2,1.8,0.4,0.7,1.5,0.6,0.4,,,,,,,,,,1.9397338403041824,0.18312870248271787,0.18312870248271787
"San Andreas (Coachella) rev",33.6383702186489,-116.062572662091,3.5,0.3,0.9,3,0.6,0.6,2.7,0.7,0.7,2.5,3.2,0.6,,,,,,,2.9928807728463704,0.4032120965443472,0.4032120965443472
"San Andreas (Coachella) rev",33.4360638590021,-115.816125784723,3.8,0.7,0.6,3,0.5,0.9,2,0.8,0.5,3.4,0.9,0.8,3.7,0.9,0.9,,,,3.1954528312052153,0.36993877240553663,0.36993877240553663
"San Andreas (Mojave S)",34.6394316599487,-118.349551262599,3.5,0.4,0.5,2.2,0.9,0.7,2.6,0.4,0.4,,,,,,,,,,2.8704649287825856,0.2950819672131148,0.2950819672131148
"San Andreas (Mojave S)",34.6153094055695,-118.284677011013,4,0.3,0.9,2.3,0.3,0.4,4.9,1,1,,,,,,,,,,2.8538013823208446,0.3433089576144488,0.3433089576144488
"Elsinore (Julian)",33.2414144639997,-116.78268534034,1.2,0.1,0.1,0.8,0.2,0.1,,,,,,,,,,,,,1.1199999999999999,0.08944271909999159,0.08944271909999159
,,,0.82,0.1,0.1,0.4,0.1,0.1,0.8,0.2,0.1,,,,,,,,,,0.6311111111111111,0.06666666666666668,0.06666666666666668
"Garlock (West)",35.1345733150885,-118.222182575791,4,1,0.7,5.5,1.1,0.7,,,,,,,,,,,,,4.678733031674208,0.7399400733959437,0.7399400733959437
,,,2.3,0.4,1.4,1.7,1,0.7,3.4,0.8,1.3,2,1.1,0.7,,,,,,,2.232711181756279,0.584369172011037,0.584369172011037
"Garlock (West)",35.2027575351892,-118.093543242234,2.4,0.9,0.9,3.2,0.7,0.7,2.9,1,0.8,4.8,1,1.2,4,0.6,0.4,,,,3.464040129755043,0.35926608713440644,0.35926608713440644
"Garlock (Central)",35.5689045003716,-117.152338097433,3.5,0.4,0.5,2.5,0.5,0.8,2.5,1,0.5,,,,,,,,,,3.1095238095238096,0.3903600291794133,0.3903600291794133
"San Jacinto (Anza) rev",33.6783700032539,-116.815429498252,1.2,0.6,0.5,2.6,0.5,0.7,2,0.4,0.5,1.8,0.7,0.5,,,,,,,1.87053664648152,0.3034568016811151,0.3034568016811151
"San Jacinto (Anza) rev",33.5117694755219,-116.549904321748,1.2,0.2,0.3,1.9,0.6,0.8,2.7,0.7,0.8,,,,,,,,,,1.4414634146341463,0.26503566257963174,0.26503566257963174
,,,3.1,0.6,0.8,2.7,0.7,0.8,,,,,,,,,,,,,2.9,0.5656854249492381,0.5656854249492381
"San Jacinto (Clark) rev",33.4708009767778,-116.482342558778,2.7,1,0.9,3.4,1.4,0.8,,,,,,,,,,,,,2.936486486486486,0.8137334712067349,0.8137334712067349
,,,1.6,0.3,0.6,1.1,1,0.9,1.9,0.7,0.4,1.5,1.4,0.8,,,,,,,1.6096739519885344,0.39750205342790124,0.39750205342790124
"San Jacinto (Clark) rev",33.4295304701814,-116.414294310065,2.6,0.1,0.1,2.8,0.03,0.1,2.1,0.1,0.04,,,,,,,,,,2.5,0.05773502691896258,0.05773502691896258
"San Jacinto (Clark) rev",33.3141212082067,-116.208128007012,1.4,0.3,0.3,1.4,0.2,0.3,1.1,0.3,0.3,,,,,,,,,,1.3000000000000003,0.17320508075688776,0.17320508075688776
EXPLANATION,,,,,,,,,,,,,,,,,,,,,,,
